conflict_id,class_pair,direction,content_identifier,content_index,content_label_index,content_class,style_identifier,style_index,style_label_index,style_class,style_strength,output_file,review_status,rejection_reason
shape_airplane_texture_cat_000,airplane__cat,airplane_shape__cat_texture,test_01648,1648,0,airplane,test_04023,4023,3,cat,0.8,Data/task1_cache/cue_conflicts/candidates/shape_airplane_texture_cat_000.png,accepted,
shape_airplane_texture_cat_001,airplane__cat,airplane_shape__cat_texture,test_02242,2242,0,airplane,test_07744,7744,3,cat,0.8,Data/task1_cache/cue_conflicts/candidates/shape_airplane_texture_cat_001.png,rejected,shape is distorted
shape_airplane_texture_cat_002,airplane__cat,airplane_shape__cat_texture,test_05478,5478,0,airplane,test_01563,1563,3,cat,0.8,Data/task1_cache/cue_conflicts/candidates/shape_airplane_texture_cat_002.png,rejected,shape is distorted
shape_airplane_texture_cat_003,airplane__cat,airplane_shape__cat_texture,test_06455,6455,0,airplane,test_01263,1263,3,cat,0.8,Data/task1_cache/cue_conflicts/candidates/shape_airplane_texture_cat_003.png,accepted,
shape_airplane_texture_cat_004,airplane__cat,airplane_shape__cat_texture,test_07309,7309,0,airplane,test_03383,3383,3,cat,0.8,Data/task1_cache/cue_conflicts/candidates/shape_airplane_texture_cat_004.png,accepted,
shape_airplane_texture_cat_005,airplane__cat,airplane_shape__cat_texture,test_07634,7634,0,airplane,test_06952,6952,3,cat,0.8,Data/task1_cache/cue_conflicts/candidates/shape_airplane_texture_cat_005.png,accepted,
shape_airplane_texture_cat_006,airplane__cat,airplane_shape__cat_texture,test_02024,2024,0,airplane,test_04531,4531,3,cat,0.8,Data/task1_cache/cue_conflicts/candidates/shape_airplane_texture_cat_006.png,accepted,
shape_airplane_texture_cat_007,airplane__cat,airplane_shape__cat_texture,test_03083,3083,0,airplane,test_04323,4323,3,cat,0.8,Data/task1_cache/cue_conflicts/candidates/shape_airplane_texture_cat_007.png,rejected,shape is distorted
shape_airplane_texture_cat_008,airplane__cat,airplane_shape__cat_texture,test_04130,4130,0,airplane,test_03851,3851,3,cat,0.8,Data/task1_cache/cue_conflicts/candidates/shape_airplane_texture_cat_008.png,accepted,
shape_airplane_texture_cat_009,airplane__cat,airplane_shape__cat_texture,test_04615,4615,0,airplane,test_02861,2861,3,cat,0.8,Data/task1_cache/cue_conflicts/candidates/shape_airplane_texture_cat_009.png,accepted,
shape_airplane_texture_cat_010,airplane__cat,airplane_shape__cat_texture,test_05918,5918,0,airplane,test_02539,2539,3,cat,0.8,Data/task1_cache/cue_conflicts/candidates/shape_airplane_texture_cat_010.png,accepted,
shape_airplane_texture_cat_011,airplane__cat,airplane_shape__cat_texture,test_05117,5117,0,airplane,test_04463,4463,3,cat,0.8,Data/task1_cache/cue_conflicts/candidates/shape_airplane_texture_cat_011.png,accepted,
shape_airplane_texture_cat_012,airplane__cat,airplane_shape__cat_texture,test_07320,7320,0,airplane,test_04881,4881,3,cat,0.8,Data/task1_cache/cue_conflicts/candidates/shape_airplane_texture_cat_012.png,accepted,
shape_airplane_texture_cat_013,airplane__cat,airplane_shape__cat_texture,test_01596,1596,0,airplane,test_01431,1431,3,cat,0.8,Data/task1_cache/cue_conflicts/candidates/shape_airplane_texture_cat_013.png,rejected,shape is distorted
shape_airplane_texture_cat_014,airplane__cat,airplane_shape__cat_texture,test_07009,7009,0,airplane,test_00176,176,3,cat,0.8,Data/task1_cache/cue_conflicts/candidates/shape_airplane_texture_cat_014.png,rejected,shape is distorted
shape_airplane_texture_cat_015,airplane__cat,airplane_shape__cat_texture,test_00484,484,0,airplane,test_01204,1204,3,cat,0.8,Data/task1_cache/cue_conflicts/candidates/shape_airplane_texture_cat_015.png,rejected,shape is distorted
shape_airplane_texture_cat_016,airplane__cat,airplane_shape__cat_texture,test_06437,6437,0,airplane,test_00672,672,3,cat,0.8,Data/task1_cache/cue_conflicts/candidates/shape_airplane_texture_cat_016.png,rejected,shape is distorted
shape_airplane_texture_cat_017,airplane__cat,airplane_shape__cat_texture,test_01389,1389,0,airplane,test_00677,677,3,cat,0.8,Data/task1_cache/cue_conflicts/candidates/shape_airplane_texture_cat_017.png,accepted,
shape_airplane_texture_cat_018,airplane__cat,airplane_shape__cat_texture,test_01553,1553,0,airplane,test_02028,2028,3,cat,0.8,Data/task1_cache/cue_conflicts/candidates/shape_airplane_texture_cat_018.png,accepted,
shape_airplane_texture_cat_019,airplane__cat,airplane_shape__cat_texture,test_04819,4819,0,airplane,test_00632,632,3,cat,0.8,Data/task1_cache/cue_conflicts/candidates/shape_airplane_texture_cat_019.png,accepted,
shape_airplane_texture_cat_020,airplane__cat,airplane_shape__cat_texture,test_07373,7373,0,airplane,test_03914,3914,3,cat,0.8,Data/task1_cache/cue_conflicts/candidates/shape_airplane_texture_cat_020.png,rejected,shape is distorted
shape_airplane_texture_cat_021,airplane__cat,airplane_shape__cat_texture,test_04399,4399,0,airplane,test_04168,4168,3,cat,0.8,Data/task1_cache/cue_conflicts/candidates/shape_airplane_texture_cat_021.png,accepted,
shape_airplane_texture_cat_022,airplane__cat,airplane_shape__cat_texture,test_06844,6844,0,airplane,test_00391,391,3,cat,0.8,Data/task1_cache/cue_conflicts/candidates/shape_airplane_texture_cat_022.png,accepted,
shape_airplane_texture_cat_023,airplane__cat,airplane_shape__cat_texture,test_04675,4675,0,airplane,test_06490,6490,3,cat,0.8,Data/task1_cache/cue_conflicts/candidates/shape_airplane_texture_cat_023.png,accepted,
shape_airplane_texture_cat_024,airplane__cat,airplane_shape__cat_texture,test_02888,2888,0,airplane,test_04609,4609,3,cat,0.8,Data/task1_cache/cue_conflicts/candidates/shape_airplane_texture_cat_024.png,accepted,
shape_airplane_texture_cat_025,airplane__cat,airplane_shape__cat_texture,test_03455,3455,0,airplane,test_03276,3276,3,cat,0.8,Data/task1_cache/cue_conflicts/candidates/shape_airplane_texture_cat_025.png,accepted,
shape_airplane_texture_cat_026,airplane__cat,airplane_shape__cat_texture,test_03876,3876,0,airplane,test_00372,372,3,cat,0.8,Data/task1_cache/cue_conflicts/candidates/shape_airplane_texture_cat_026.png,rejected,shape is distorted
shape_airplane_texture_cat_027,airplane__cat,airplane_shape__cat_texture,test_07262,7262,0,airplane,test_03562,3562,3,cat,0.8,Data/task1_cache/cue_conflicts/candidates/shape_airplane_texture_cat_027.png,accepted,
shape_airplane_texture_cat_028,airplane__cat,airplane_shape__cat_texture,test_00003,3,0,airplane,test_02536,2536,3,cat,0.8,Data/task1_cache/cue_conflicts/candidates/shape_airplane_texture_cat_028.png,rejected,shape is distorted
shape_airplane_texture_cat_029,airplane__cat,airplane_shape__cat_texture,test_05999,5999,0,airplane,test_02754,2754,3,cat,0.8,Data/task1_cache/cue_conflicts/candidates/shape_airplane_texture_cat_029.png,rejected,shape is distorted
shape_cat_texture_airplane_000,airplane__cat,cat_shape__airplane_texture,test_01263,1263,3,cat,test_05478,5478,0,airplane,0.8,Data/task1_cache/cue_conflicts/candidates/shape_cat_texture_airplane_000.png,accepted,
shape_cat_texture_airplane_001,airplane__cat,cat_shape__airplane_texture,test_02754,2754,3,cat,test_07465,7465,0,airplane,0.8,Data/task1_cache/cue_conflicts/candidates/shape_cat_texture_airplane_001.png,accepted,
shape_cat_texture_airplane_002,airplane__cat,cat_shape__airplane_texture,test_04323,4323,3,cat,test_03083,3083,0,airplane,0.8,Data/task1_cache/cue_conflicts/candidates/shape_cat_texture_airplane_002.png,accepted,
shape_cat_texture_airplane_003,airplane__cat,cat_shape__airplane_texture,test_04168,4168,3,cat,test_01596,1596,0,airplane,0.8,Data/task1_cache/cue_conflicts/candidates/shape_cat_texture_airplane_003.png,rejected,shape is distorted
shape_cat_texture_airplane_004,airplane__cat,cat_shape__airplane_texture,test_01431,1431,3,cat,test_04819,4819,0,airplane,0.8,Data/task1_cache/cue_conflicts/candidates/shape_cat_texture_airplane_004.png,accepted,
