projection_x,projection_y,pair_index,image_identifier,class_index,class_name,condition
-3.7926056,-23.921616,0,shape_airplane_texture_cat_000,0,airplane,clean
-6.6638846,-25.641497,1,shape_airplane_texture_cat_003,0,airplane,clean
-3.0632608,-24.394588,2,shape_airplane_texture_cat_004,0,airplane,clean
-5.827755,-23.608624,3,shape_airplane_texture_cat_005,0,airplane,clean
-6.695336,-25.503733,4,shape_airplane_texture_cat_006,0,airplane,clean
-6.985589,-22.762026,5,shape_airplane_texture_cat_008,0,airplane,clean
-5.8920803,-22.343056,6,shape_airplane_texture_cat_009,0,airplane,clean
-6.3235807,-23.574837,7,shape_airplane_texture_cat_010,0,airplane,clean
-5.104934,-22.467712,8,shape_airplane_texture_cat_011,0,airplane,clean
-7.449628,-21.62773,9,shape_airplane_texture_cat_012,0,airplane,clean
-7.2531786,-23.792828,10,shape_airplane_texture_cat_017,0,airplane,clean
-2.9555483,-24.930696,11,shape_airplane_texture_cat_018,0,airplane,clean
-6.662019,-22.859964,12,shape_airplane_texture_cat_019,0,airplane,clean
-7.551989,-21.814762,13,shape_airplane_texture_cat_021,0,airplane,clean
-5.239935,-21.105812,14,shape_airplane_texture_cat_022,0,airplane,clean
-3.9801252,-23.775696,15,shape_airplane_texture_cat_023,0,airplane,clean
-3.014612,-24.809711,16,shape_airplane_texture_cat_024,0,airplane,clean
-7.9154263,-23.194794,17,shape_airplane_texture_cat_025,0,airplane,clean
-6.011034,-23.094292,18,shape_airplane_texture_cat_027,0,airplane,clean
-2.6256726,18.340767,19,shape_cat_texture_airplane_000,3,cat,clean
-2.8319564,19.960688,20,shape_cat_texture_airplane_001,3,cat,clean
-1.7624967,29.478535,21,shape_cat_texture_airplane_002,3,cat,clean
-1.4007131,28.737383,22,shape_cat_texture_airplane_004,3,cat,clean
-1.7238324,21.4884,23,shape_cat_texture_airplane_005,3,cat,clean
-2.9152305,20.724901,24,shape_cat_texture_airplane_006,3,cat,clean
-0.710638,19.036663,25,shape_cat_texture_airplane_007,3,cat,clean
-0.34418833,4.397565,26,shape_cat_texture_airplane_008,3,cat,clean
-0.7606525,29.415754,27,shape_cat_texture_airplane_009,3,cat,clean
0.11241169,21.24988,28,shape_cat_texture_airplane_012,3,cat,clean
-1.5266197,28.781492,29,shape_cat_texture_airplane_015,3,cat,clean
-2.9818954,19.691256,30,shape_cat_texture_airplane_017,3,cat,clean
-2.083,20.385843,31,shape_cat_texture_airplane_018,3,cat,clean
2.3197665,4.778664,32,shape_cat_texture_airplane_021,3,cat,clean
0.8101564,21.163006,33,shape_cat_texture_airplane_023,3,cat,clean
0.26706377,18.892313,34,shape_cat_texture_airplane_026,3,cat,clean
-1.0956057,19.052038,35,shape_cat_texture_airplane_028,3,cat,clean
-1.9912938,20.712309,36,shape_cat_texture_airplane_029,3,cat,clean
-5.764898,8.6132965,37,shape_bird_texture_car_000,1,bird,clean
-5.9515266,12.671403,38,shape_bird_texture_car_001,1,bird,clean
-8.20222,11.636066,39,shape_bird_texture_car_002,1,bird,clean
-6.447848,12.10807,40,shape_bird_texture_car_003,1,bird,clean
-8.452498,9.962136,41,shape_bird_texture_car_004,1,bird,clean
-7.0798483,11.368439,42,shape_bird_texture_car_005,1,bird,clean
-10.247355,14.296119,43,shape_bird_texture_car_007,1,bird,clean
-5.0040135,13.721,44,shape_bird_texture_car_008,1,bird,clean
1.1433706,7.0345817,45,shape_bird_texture_car_009,1,bird,clean
-7.282744,12.116601,46,shape_bird_texture_car_011,1,bird,clean
-8.307985,10.123605,47,shape_bird_texture_car_013,1,bird,clean
-7.460458,8.287938,48,shape_bird_texture_car_014,1,bird,clean
-6.0766463,8.207955,49,shape_bird_texture_car_019,1,bird,clean
-7.4853663,11.021056,50,shape_bird_texture_car_020,1,bird,clean
-8.128376,11.330965,51,shape_bird_texture_car_023,1,bird,clean
-10.214547,14.273609,52,shape_bird_texture_car_024,1,bird,clean
-10.1818285,14.245617,53,shape_bird_texture_car_025,1,bird,clean
-4.255331,5.637282,54,shape_bird_texture_car_026,1,bird,clean
-4.915255,13.839711,55,shape_bird_texture_car_027,1,bird,clean
-5.393727,8.87124,56,shape_bird_texture_car_028,1,bird,clean
-7.112355,12.6146345,57,shape_bird_texture_car_029,1,bird,clean
18.035124,-18.763813,58,shape_car_texture_bird_000,2,car,clean
16.090992,-20.208296,59,shape_car_texture_bird_001,2,car,clean
6.2180314,-20.280043,60,shape_car_texture_bird_002,2,car,clean
14.367803,-22.259007,61,shape_car_texture_bird_003,2,car,clean
17.453457,-17.768276,62,shape_car_texture_bird_004,2,car,clean
18.177006,-22.812319,63,shape_car_texture_bird_005,2,car,clean
19.617998,-18.545174,64,shape_car_texture_bird_006,2,car,clean
19.22519,-16.713274,65,shape_car_texture_bird_007,2,car,clean
10.499553,-22.438421,66,shape_car_texture_bird_008,2,car,clean
19.190176,-22.984127,67,shape_car_texture_bird_010,2,car,clean
21.381334,-19.396614,68,shape_car_texture_bird_011,2,car,clean
17.212214,-20.510412,69,shape_car_texture_bird_012,2,car,clean
14.644466,-22.879026,70,shape_car_texture_bird_013,2,car,clean
14.38055,-22.48348,71,shape_car_texture_bird_014,2,car,clean
18.390898,-22.516068,72,shape_car_texture_bird_015,2,car,clean
19.283722,-22.048536,73,shape_car_texture_bird_016,2,car,clean
19.358961,-18.213722,74,shape_car_texture_bird_017,2,car,clean
18.055351,-17.852427,75,shape_car_texture_bird_018,2,car,clean
19.898098,-19.487087,76,shape_car_texture_bird_019,2,car,clean
18.112852,-19.264853,77,shape_car_texture_bird_020,2,car,clean
14.233697,-21.860035,78,shape_car_texture_bird_021,2,car,clean
15.484773,-19.43048,79,shape_car_texture_bird_022,2,car,clean
19.69787,-17.647015,80,shape_car_texture_bird_023,2,car,clean
16.922255,-20.5163,81,shape_car_texture_bird_024,2,car,clean
18.290638,-16.78404,82,shape_car_texture_bird_025,2,car,clean
20.56859,-19.217138,83,shape_car_texture_bird_026,2,car,clean
19.327307,-22.805029,84,shape_car_texture_bird_027,2,car,clean
15.9769535,-20.51562,85,shape_car_texture_bird_029,2,car,clean
-11.025828,19.41606,86,shape_deer_texture_ship_000,4,deer,clean
-6.40964,22.12908,87,shape_deer_texture_ship_001,4,deer,clean
-9.661248,21.92982,88,shape_deer_texture_ship_002,4,deer,clean
-9.222675,22.244713,89,shape_deer_texture_ship_003,4,deer,clean
-8.131722,18.098017,90,shape_deer_texture_ship_004,4,deer,clean
-11.471408,18.805689,91,shape_deer_texture_ship_005,4,deer,clean
