projection_x,projection_y,pair_index,image_identifier,class_index,class_name,condition
-71.242294,7.2454996,0,test_00003,0,airplane,clean
41.009796,4.13069,1,test_00029,7,monkey,clean
-37.22618,15.963894,2,test_00035,2,car,clean
-63.249523,9.133414,3,test_00042,0,airplane,clean
-34.99165,20.29839,4,test_00049,2,car,clean
-60.63074,9.5415125,5,test_00081,0,airplane,clean
40.92314,-18.215717,6,test_00095,1,bird,clean
11.8288,19.511723,7,test_00097,5,dog,clean
35.432186,-15.782434,8,test_00116,1,bird,clean
-27.572815,-3.1873972,9,test_00131,9,truck,clean
-30.780403,-25.814096,10,test_00151,8,ship,clean
16.972698,-28.571905,11,test_00171,4,deer,clean
32.345047,15.948466,12,test_00176,3,cat,clean
-31.737034,10.719792,13,test_00191,9,truck,clean
-33.506805,-25.974766,14,test_00194,8,ship,clean
43.887196,-14.066734,15,test_00198,1,bird,clean
-29.096827,3.1697514,16,test_00239,9,truck,clean
36.03846,-24.312468,17,test_00261,1,bird,clean
38.099724,2.0194862,18,test_00269,7,monkey,clean
-22.85689,0.28836837,19,test_00276,9,truck,clean
-34.142803,0.38220242,20,test_00303,9,truck,clean
31.407343,-9.838444,21,test_00304,1,bird,clean
-32.61969,26.692797,22,test_00317,2,car,clean
15.02341,25.249344,23,test_00319,5,dog,clean
42.404526,10.066464,24,test_00323,7,monkey,clean
24.599571,24.581476,25,test_00365,3,cat,clean
48.635292,7.5165854,26,test_00370,7,monkey,clean
25.393116,21.303486,27,test_00372,3,cat,clean
14.755917,20.42986,28,test_00378,5,dog,clean
28.931387,2.932174,29,test_00391,3,cat,clean
-31.253666,27.248434,30,test_00409,2,car,clean
-29.297358,4.7008033,31,test_00419,9,truck,clean
7.1409507,-0.054412626,32,test_00449,6,horse,clean
-32.508804,29.76743,33,test_00470,2,car,clean
-31.05574,16.742111,34,test_00483,2,car,clean
-57.176422,-3.755022,35,test_00484,0,airplane,clean
15.633222,-26.346525,36,test_00506,4,deer,clean
-7.321173,-1.3327056,37,test_00545,6,horse,clean
-61.51985,3.6729417,38,test_00562,0,airplane,clean
12.544297,27.714863,39,test_00568,5,dog,clean
-33.778027,6.704949,40,test_00603,9,truck,clean
33.060055,16.759998,41,test_00632,3,cat,clean
9.995123,16.187134,42,test_00645,5,dog,clean
-34.48649,-30.402626,43,test_00667,8,ship,clean
32.116505,11.771286,44,test_00672,3,cat,clean
27.537628,28.85457,45,test_00677,3,cat,clean
16.529284,21.465113,46,test_00685,5,dog,clean
19.68363,-29.549604,47,test_00691,4,deer,clean
-41.737595,-27.747005,48,test_00706,8,ship,clean
-28.443857,11.702874,49,test_00714,2,car,clean
-30.374027,-24.653286,50,test_00716,8,ship,clean
24.936838,30.396736,51,test_00738,3,cat,clean
-32.396297,-24.873323,52,test_00739,8,ship,clean
11.418758,4.4851413,53,test_00766,4,deer,clean
27.844482,27.246248,54,test_00791,3,cat,clean
-21.867586,-2.5823545,55,test_00805,9,truck,clean
36.68556,-21.753263,56,test_00825,1,bird,clean
-31.850338,0.43284276,57,test_00852,9,truck,clean
6.676729,-29.03111,58,test_00855,4,deer,clean
10.767419,-7.335484,59,test_00873,6,horse,clean
7.622714,1.7907445,60,test_00890,6,horse,clean
8.174242,-2.3526306,61,test_00920,6,horse,clean
3.0100567,-3.1000564,62,test_00929,6,horse,clean
-31.383587,-26.873701,63,test_00962,8,ship,clean
-1.9422112,-8.199092,64,test_00964,6,horse,clean
5.7556286,1.9315081,65,test_00977,6,horse,clean
25.978685,27.048218,66,test_00979,3,cat,clean
-30.569912,20.90501,67,test_00981,2,car,clean
-28.582338,8.170172,68,test_01022,9,truck,clean
49.73195,2.4877887,69,test_01032,7,monkey,clean
51.914852,4.407513,70,test_01048,7,monkey,clean
36.232063,-21.765,71,test_01090,1,bird,clean
16.840984,19.380909,72,test_01095,5,dog,clean
34.95558,-19.988167,73,test_01109,1,bird,clean
13.907147,-30.1106,74,test_01111,4,deer,clean
43.984535,-10.114846,75,test_01115,1,bird,clean
19.652168,-27.488522,76,test_01124,4,deer,clean
-38.560814,-30.692245,77,test_01129,8,ship,clean
-63.623165,6.68965,78,test_01175,0,airplane,clean
-29.877357,29.916414,79,test_01202,2,car,clean
35.68906,19.639313,80,test_01204,3,cat,clean
16.252441,-30.161655,81,test_01211,4,deer,clean
44.87704,6.3293614,82,test_01220,7,monkey,clean
49.105442,0.8150786,83,test_01230,1,bird,clean
-30.801973,-23.362982,84,test_01247,8,ship,clean
28.790518,10.246121,85,test_01263,3,cat,clean
18.284817,-28.691736,86,test_01266,4,deer,clean
38.073696,10.31049,87,test_01287,7,monkey,clean
45.902237,4.09236,88,test_01296,7,monkey,clean
24.579508,24.571768,89,test_01370,3,cat,clean
-63.235146,5.2076335,90,test_01389,0,airplane,clean
31.573494,23.438042,91,test_01401,3,cat,clean
-22.090214,22.914532,92,test_01403,2,car,clean
-33.507145,-1.311429,93,test_01411,9,truck,clean
13.133937,-17.124804,94,test_01429,4,deer,clean
-24.621199,-3.1588962,95,test_01430,9,truck,clean
23.460522,26.183268,96,test_01431,3,cat,clean
41.444683,-21.371262,97,test_01436,1,bird,clean
43.293926,6.188037,98,test_01440,7,monkey,clean
-23.379936,5.732569,99,test_01468,9,truck,clean
50.503216,7.1941686,100,test_01473,7,monkey,clean
-31.788347,3.9036887,101,test_01515,9,truck,clean
-35.028725,12.900592,102,test_01520,2,car,clean
28.670671,7.9032946,103,test_01531,3,cat,clean
-8.883477,-2.7943978,104,test_01534,6,horse,clean
11.50525,13.223577,105,test_01552,5,dog,clean
-69.85119,9.717969,106,test_01553,0,airplane,clean
34.452316,9.465634,107,test_01563,3,cat,clean
41.53684,-11.284866,108,test_01568,1,bird,clean
47.775974,15.6585045,109,test_01579,7,monkey,clean
-27.312256,19.607878,110,test_01586,2,car,clean
-60.400375,-3.8449013,111,test_01596,0,airplane,clean
13.32382,18.923357,112,test_01626,5,dog,clean
-36.615047,-26.955425,113,test_01640,8,ship,clean
10.943049,19.57841,114,test_01644,5,dog,clean
-66.32793,8.354897,115,test_01648,0,airplane,clean
-27.89779,-3.8699477,116,test_01654,9,truck,clean
-3.5464776,-0.30710587,117,test_01667,6,horse,clean
43.972828,3.588617,118,test_01703,7,monkey,clean
49.57525,14.381283,119,test_01711,7,monkey,clean
37.874294,-0.1806432,120,test_01771,7,monkey,clean
-34.15964,-27.615904,121,test_01783,8,ship,clean
-33.295578,19.167656,122,test_01814,2,car,clean
-30.931782,-24.738949,123,test_01833,8,ship,clean
-30.379887,-1.4966327,124,test_01836,9,truck,clean
-29.631184,21.513853,125,test_01839,2,car,clean
45.214455,-14.591372,126,test_01852,1,bird,clean
30.315275,-14.318031,127,test_01871,1,bird,clean
11.378489,13.500794,128,test_01877,5,dog,clean
44.356884,1.1073532,129,test_01884,7,monkey,clean
49.27818,9.702254,130,test_01927,7,monkey,clean
-44.362724,-23.389597,131,test_01954,8,ship,clean
39.34354,13.243017,132,test_01956,7,monkey,clean
18.691637,-25.61885,133,test_01960,4,deer,clean
-61.42142,11.158346,134,test_01977,0,airplane,clean
30.666063,-14.252204,135,test_01986,1,bird,clean
43.70657,-19.44586,136,test_01993,1,bird,clean
1.0789703,-2.446295,137,test_02003,6,horse,clean
-32.23228,-3.491967,138,test_02011,9,truck,clean
-64.344406,-1.7136495,139,test_02024,0,airplane,clean
28.076506,11.792592,140,test_02028,3,cat,clean
-34.752823,1.133361,141,test_02062,9,truck,clean
44.59318,-17.177013,142,test_02070,1,bird,clean
-36.22414,14.290447,143,test_02082,2,car,clean
48.00032,-11.502862,144,test_02095,1,bird,clean
-40.18786,-29.138874,145,test_02109,8,ship,clean
-24.173437,6.476197,146,test_02114,9,truck,clean
49.012043,-11.385458,147,test_02116,1,bird,clean
40.37759,-19.517534,148,test_02157,1,bird,clean
-31.898418,-1.54621,149,test_02167,9,truck,clean
35.54282,-17.565767,150,test_02178,1,bird,clean
-34.364613,-28.835266,151,test_02191,8,ship,clean
-30.480923,-28.564737,152,test_02230,8,ship,clean
-59.956783,-3.6656744,153,test_02242,0,airplane,clean
11.321238,15.116296,154,test_02265,5,dog,clean
8.993567,27.778383,155,test_02268,5,dog,clean
33.466217,10.900886,156,test_02291,3,cat,clean
10.623309,18.242224,157,test_02334,5,dog,clean
-32.20417,-28.096748,158,test_02340,8,ship,clean
-35.524097,-26.940548,159,test_02342,8,ship,clean
-33.729218,2.2197912,160,test_02351,9,truck,clean
9.754937,11.403625,161,test_02391,5,dog,clean
-33.005436,22.775896,162,test_02392,2,car,clean
10.326646,-33.350296,163,test_02399,4,deer,clean
-23.26196,-7.543717,164,test_02414,9,truck,clean
9.197184,18.505545,165,test_02427,5,dog,clean
12.613201,16.812094,166,test_02458,5,dog,clean
49.632282,11.364654,167,test_02501,7,monkey,clean
-31.858406,31.135233,168,test_02502,2,car,clean
33.198586,14.922705,169,test_02536,3,cat,clean
30.460884,18.041294,170,test_02539,3,cat,clean
-1.3529897,-4.909642,171,test_02610,6,horse,clean
18.081072,21.44708,172,test_02623,5,dog,clean
-18.973017,-2.0421748,173,test_02655,9,truck,clean
45.36079,5.2123237,174,test_02668,7,monkey,clean
-2.711333,5.062909,175,test_02676,6,horse,clean
43.464817,-16.520365,176,test_02687,1,bird,clean
44.35202,-17.179167,177,test_02690,1,bird,clean
17.412634,-26.783968,178,test_02704,4,deer,clean
-33.098602,-26.283676,179,test_02745,8,ship,clean
45.747093,8.100396,180,test_02746,7,monkey,clean
-58.352898,-7.5555162,181,test_02750,0,airplane,clean
34.94076,16.40997,182,test_02754,3,cat,clean
6.592278,-25.339943,183,test_02757,4,deer,clean
12.874216,21.452568,184,test_02766,5,dog,clean
36.331253,-3.5552592,185,test_02807,5,dog,clean
-43.52252,-30.736181,186,test_02844,8,ship,clean
45.602585,5.8653564,187,test_02854,7,monkey,clean
28.348152,25.669003,188,test_02861,3,cat,clean
-69.249016,9.420665,189,test_02888,0,airplane,clean
14.394769,-27.769562,190,test_02898,4,deer,clean
10.22771,24.831886,191,test_02950,5,dog,clean
5.0870833,1.3468041,192,test_02958,6,horse,clean
-32.662518,-27.308697,193,test_03015,8,ship,clean
-37.781197,13.30996,194,test_03024,2,car,clean
-56.342697,4.994457,195,test_03025,0,airplane,clean
16.507769,-31.58814,196,test_03034,4,deer,clean
-33.781364,21.881752,197,test_03067,2,car,clean
9.720629,-23.616138,198,test_03078,4,deer,clean
42.775223,-21.030748,199,test_03079,1,bird,clean
-61.045174,-3.9994771,200,test_03083,0,airplane,clean
21.522427,-29.665049,201,test_03122,4,deer,clean
44.648552,4.871252,202,test_03153,7,monkey,clean
-31.42497,-27.229973,203,test_03157,8,ship,clean
-24.149189,25.98599,204,test_03163,2,car,clean
9.768068,-29.354113,205,test_03179,4,deer,clean
-6.7390447,-1.9058317,206,test_03191,6,horse,clean
33.636425,6.905574,207,test_03276,3,cat,clean
14.219953,-28.409357,208,test_03287,4,deer,clean
47.006325,5.58334,209,test_03288,7,monkey,clean
-2.0976562,-2.264467,210,test_03292,6,horse,clean
-25.162903,-0.24258725,211,test_03318,9,truck,clean
-59.5316,2.6351166,212,test_03347,0,airplane,clean
19.611437,16.142334,213,test_03353,5,dog,clean
-33.490513,29.276585,214,test_03362,2,car,clean
8.953267,-31.002628,215,test_03365,4,deer,clean
31.226564,9.194057,216,test_03375,3,cat,clean
32.64807,14.464653,217,test_03383,3,cat,clean
47.69463,8.910501,218,test_03404,7,monkey,clean
-34.01091,-30.355675,219,test_03412,8,ship,clean
44.17676,-15.4990635,220,test_03413,1,bird,clean
3.64723,2.9301076,221,test_03418,6,horse,clean
-59.098755,-5.402249,222,test_03437,0,airplane,clean
50.013607,4.2251987,223,test_03446,7,monkey,clean
-28.012672,26.013052,224,test_03454,2,car,clean
-54.76111,4.292265,225,test_03455,0,airplane,clean
13.425322,-29.1094,226,test_03458,4,deer,clean
36.000267,4.224349,227,test_03467,7,monkey,clean
46.234528,-14.504269,228,test_03491,1,bird,clean
1.3780949,0.07924,229,test_03494,6,horse,clean
19.413229,-28.162533,230,test_03512,4,deer,clean
8.591883,-1.8451809,231,test_03515,6,horse,clean
48.161232,6.4185925,232,test_03542,7,monkey,clean
33.380783,-18.78633,233,test_03550,1,bird,clean
23.91892,5.210223,234,test_03562,3,cat,clean
-26.09872,25.513351,235,test_03755,2,car,clean
12.490387,-30.419512,236,test_03763,4,deer,clean
6.9099054,0.5854864,237,test_03777,6,horse,clean
30.542336,26.807922,238,test_03778,3,cat,clean
7.108685,-1.8488027,239,test_03779,6,horse,clean
10.403333,0.8223083,240,test_03844,6,horse,clean
21.069288,29.898062,241,test_03851,3,cat,clean
17.114374,25.057774,242,test_03852,5,dog,clean
7.79455,21.67385,243,test_03863,5,dog,clean
47.60414,7.572522,244,test_03867,7,monkey,clean
-54.859257,-2.7722273,245,test_03876,0,airplane,clean
14.862018,17.431856,246,test_03889,5,dog,clean
18.408453,-28.103067,247,test_03891,4,deer,clean
-27.66962,5.7544127,248,test_03893,9,truck,clean
-43.97059,-28.933702,249,test_03905,8,ship,clean
34.764038,15.926185,250,test_03914,3,cat,clean
44.74659,-19.776327,251,test_03937,1,bird,clean
-26.77585,-5.5437136,252,test_03942,9,truck,clean
-42.9128,-29.59582,253,test_03948,8,ship,clean
9.506167,-2.0016036,254,test_03962,6,horse,clean
-67.22531,8.677383,255,test_03965,0,airplane,clean
18.431654,-27.463905,256,test_03994,4,deer,clean
-37.60321,2.5378203,257,test_03996,9,truck,clean
1.8787292,-3.9798143,258,test_04011,6,horse,clean
31.994308,8.367188,259,test_04023,3,cat,clean
11.82724,-31.550278,260,test_04054,4,deer,clean
-27.807829,17.311312,261,test_04065,2,car,clean
-30.162231,-16.47903,262,test_04069,8,ship,clean
-1.9572679,-7.218552,263,test_04093,6,horse,clean
-34.939003,-1.9471663,264,test_04094,9,truck,clean
13.615499,11.970237,265,test_04106,5,dog,clean
-57.8765,2.9355803,266,test_04130,0,airplane,clean
25.666641,26.089016,267,test_04168,3,cat,clean
-31.731203,-20.619799,268,test_04170,8,ship,clean
44.89314,4.7643013,269,test_04172,7,monkey,clean
-32.18277,-26.296503,270,test_04177,8,ship,clean
25.371532,27.3293,271,test_04215,3,cat,clean
33.851128,17.695463,272,test_04229,3,cat,clean
48.883396,4.182907,273,test_04236,7,monkey,clean
-31.836557,-24.93061,274,test_04242,8,ship,clean
9.704593,-2.4770002,275,test_04254,6,horse,clean
9.659967,11.100266,276,test_04290,5,dog,clean
43.265263,-15.481726,277,test_04298,1,bird,clean
45.472923,13.38514,278,test_04308,7,monkey,clean
-32.697105,-27.92295,279,test_04311,8,ship,clean
23.547173,28.448765,280,test_04323,3,cat,clean
26.174803,16.024408,281,test_04330,3,cat,clean
7.3272786,2.0596068,282,test_04341,6,horse,clean
-34.264423,-24.00546,283,test_04355,8,ship,clean
-57.190445,6.127028,284,test_04399,0,airplane,clean
46.984207,6.4864087,285,test_04403,7,monkey,clean
-3.2840748,-5.5294056,286,test_04411,6,horse,clean
-22.707935,2.4765806,287,test_04449,9,truck,clean
29.9746,24.15252,288,test_04463,3,cat,clean
31.106852,9.996981,289,test_04531,3,cat,clean
-59.7333,3.4080367,290,test_04539,0,airplane,clean
15.213294,23.40993,291,test_04547,5,dog,clean
-32.50038,-23.621405,292,test_04552,8,ship,clean
7.315932,18.616196,293,test_04570,5,dog,clean
29.891174,28.52463,294,test_04590,3,cat,clean
34.625362,2.085082,295,test_04609,3,cat,clean
-61.372364,6.0657377,296,test_04615,0,airplane,clean
-57.40359,1.8087906,297,test_04617,0,airplane,clean
-1.6472121,-2.2601495,298,test_04620,6,horse,clean
15.865867,-27.751825,299,test_04629,4,deer,clean
46.30089,-16.347515,300,test_04640,1,bird,clean
