projection_x,projection_y,pair_index,image_identifier,class_index,class_name,condition
-0.7236872,-40.16841,0,test_00003,0,airplane,clean
25.448185,30.695963,1,test_00029,7,monkey,clean
18.783813,-23.146685,2,test_00035,2,car,clean
-2.028474,-36.340054,3,test_00042,0,airplane,clean
16.773127,-20.71365,4,test_00049,2,car,clean
-2.3214958,-34.77078,5,test_00081,0,airplane,clean
8.583097,35.50671,6,test_00095,1,bird,clean
18.277426,12.358746,7,test_00097,5,dog,clean
7.1952777,33.080406,8,test_00116,1,bird,clean
20.6651,-33.614124,9,test_00131,9,truck,clean
15.701404,-43.914715,10,test_00151,8,ship,clean
32.036816,15.314315,11,test_00171,4,deer,clean
16.792309,24.349173,12,test_00176,3,cat,clean
17.91242,-27.561367,13,test_00191,9,truck,clean
14.151056,-44.66095,14,test_00194,8,ship,clean
11.324576,36.95491,15,test_00198,1,bird,clean
19.754543,-30.531618,16,test_00239,9,truck,clean
10.640764,31.373983,17,test_00261,1,bird,clean
25.782022,29.671623,18,test_00269,7,monkey,clean
22.682611,-31.780167,19,test_00276,9,truck,clean
17.446783,-31.359322,20,test_00303,9,truck,clean
9.349236,30.025194,21,test_00304,1,bird,clean
14.554605,-18.761139,22,test_00317,2,car,clean
15.755067,10.50386,23,test_00319,5,dog,clean
25.433434,27.301716,24,test_00323,7,monkey,clean
12.06107,16.094273,25,test_00365,3,cat,clean
24.053946,29.304472,26,test_00370,7,monkey,clean
10.619475,16.427523,27,test_00372,3,cat,clean
16.619448,13.072736,28,test_00378,5,dog,clean
22.73973,21.127975,29,test_00391,3,cat,clean
14.372588,-18.627872,30,test_00409,2,car,clean
20.140682,-29.94336,31,test_00419,9,truck,clean
26.868368,2.7504473,32,test_00449,6,horse,clean
14.311847,-17.400991,33,test_00470,2,car,clean
15.837751,-20.546711,34,test_00483,2,car,clean
3.554832,-36.537495,35,test_00484,0,airplane,clean
33.81609,16.538172,36,test_00506,4,deer,clean
29.595913,0.9791776,37,test_00545,6,horse,clean
1.1388372,-35.728867,38,test_00562,0,airplane,clean
16.803003,11.925027,39,test_00568,5,dog,clean
