projection_x,projection_y,pair_index,image_identifier,class_index,class_name,condition
-56.930862,-29.947367,0,test_00003,0,airplane,clean
71.4358,5.212847,1,test_00029,7,monkey,clean
-42.217274,4.683955,2,test_00035,2,car,clean
-45.63397,-28.733427,3,test_00042,0,airplane,clean
-36.207108,-1.5058104,4,test_00049,2,car,clean
-42.005836,-25.481533,5,test_00081,0,airplane,clean
44.109756,-32.62818,6,test_00095,1,bird,clean
24.247303,30.608618,7,test_00097,5,dog,clean
34.38658,-30.791098,8,test_00116,1,bird,clean
-44.469833,31.35544,9,test_00131,9,truck,clean
-73.97163,10.942154,10,test_00151,8,ship,clean
13.594402,-32.593273,11,test_00171,4,deer,clean
43.185993,8.315628,12,test_00176,3,cat,clean
-38.87241,14.398477,13,test_00191,9,truck,clean
-74.24559,5.825711,14,test_00194,8,ship,clean
52.673794,-31.540846,15,test_00198,1,bird,clean
-40.868618,24.48919,16,test_00239,9,truck,clean
36.679996,-20.14478,17,test_00261,1,bird,clean
69.18317,7.7577043,18,test_00269,7,monkey,clean
-37.05081,33.68913,19,test_00276,9,truck,clean
-48.503235,24.01285,20,test_00303,9,truck,clean
39.81581,-16.327614,21,test_00304,1,bird,clean
-30.460024,-3.761768,22,test_00317,2,car,clean
23.509586,38.98395,23,test_00319,5,dog,clean
65.168015,8.685403,24,test_00323,7,monkey,clean
41.19736,28.477673,25,test_00365,3,cat,clean
67.59157,2.8610177,26,test_00370,7,monkey,clean
47.13243,31.564875,27,test_00372,3,cat,clean
27.361034,30.95767,28,test_00378,5,dog,clean
36.43895,12.175044,29,test_00391,3,cat,clean
-28.419573,-4.369954,30,test_00409,2,car,clean
-38.375874,23.32817,31,test_00419,9,truck,clean
12.512446,2.128301,32,test_00449,6,horse,clean
-26.390331,-8.034173,33,test_00470,2,car,clean
-35.011288,-4.2568107,34,test_00483,2,car,clean
-41.90993,-42.817036,35,test_00484,0,airplane,clean
10.975259,-41.385708,36,test_00506,4,deer,clean
