projection_x,projection_y,pair_index,image_identifier,class_index,class_name,condition
-74.63137,-7.324165,0,test_00003,0,airplane,clean
65.49229,1.5938675,1,test_00029,7,monkey,clean
-47.68096,21.298433,2,test_00035,2,car,clean
-70.02481,1.4990745,3,test_00042,0,airplane,clean
-44.353664,26.52647,4,test_00049,2,car,clean
-68.5391,5.9428444,5,test_00081,0,airplane,clean
45.92486,-34.221954,6,test_00095,1,bird,clean
22.47457,30.275951,7,test_00097,5,dog,clean
33.984222,-24.116,8,test_00116,1,bird,clean
-34.609062,-5.984963,9,test_00131,9,truck,clean
-39.230843,-32.98474,10,test_00151,8,ship,clean
15.820186,-35.504425,11,test_00171,4,deer,clean
53.68987,20.713743,12,test_00176,3,cat,clean
-37.422276,12.206078,13,test_00191,9,truck,clean
-44.60199,-33.942387,14,test_00194,8,ship,clean
52.267677,-28.834488,15,test_00198,1,bird,clean
-35.570843,3.4816167,16,test_00239,9,truck,clean
41.71807,-21.20651,17,test_00261,1,bird,clean
62.51367,3.556638,18,test_00269,7,monkey,clean
-26.253347,-3.065969,19,test_00276,9,truck,clean
-42.403404,0.04508857,20,test_00303,9,truck,clean
36.667274,-20.277655,21,test_00304,1,bird,clean
-41.557114,31.66871,22,test_00317,2,car,clean
21.396723,38.181778,23,test_00319,5,dog,clean
62.15449,6.763492,24,test_00323,7,monkey,clean
39.681274,33.559635,25,test_00365,3,cat,clean
59.611614,2.5279958,26,test_00370,7,monkey,clean
46.620003,31.23451,27,test_00372,3,cat,clean
25.140974,30.911575,28,test_00378,5,dog,clean
36.188744,9.552586,29,test_00391,3,cat,clean
-39.444016,32.513958,30,test_00409,2,car,clean
-33.987778,5.9025087,31,test_00419,9,truck,clean
11.945511,1.153962,32,test_00449,6,horse,clean
-39.3896,35.2344,33,test_00470,2,car,clean
-40.067978,20.091425,34,test_00483,2,car,clean
-83.04202,6.979626,35,test_00484,0,airplane,clean
14.664664,-41.25908,36,test_00506,4,deer,clean
-0.9594299,-7.296503,37,test_00545,6,horse,clean
-77.59166,7.4054694,38,test_00562,0,airplane,clean
24.909405,37.49445,39,test_00568,5,dog,clean
-37.132122,6.6162133,40,test_00603,9,truck,clean
51.410103,19.85826,41,test_00632,3,cat,clean
18.343647,24.021286,42,test_00645,5,dog,clean
-47.850445,-41.09643,43,test_00667,8,ship,clean
48.205498,15.665558,44,test_00672,3,cat,clean
40.052685,37.297455,45,test_00677,3,cat,clean
27.506355,31.053204,46,test_00685,5,dog,clean
19.404486,-35.425735,47,test_00691,4,deer,clean
-54.86787,-31.41063,48,test_00706,8,ship,clean
-43.62941,10.850482,49,test_00714,2,car,clean
-38.453777,-30.674213,50,test_00716,8,ship,clean
40.356956,40.028656,51,test_00738,3,cat,clean
-43.22438,-31.764706,52,test_00739,8,ship,clean
9.576398,-3.1083567,53,test_00766,4,deer,clean
41.67385,36.33658,54,test_00791,3,cat,clean
-25.231256,-9.288974,55,test_00805,9,truck,clean
40.10024,-25.490461,56,test_00825,1,bird,clean
-38.552082,-0.40344965,57,test_00852,9,truck,clean
4.231576,-26.824804,58,test_00855,4,deer,clean
6.3254895,-24.268265,59,test_00873,6,horse,clean
7.8849745,-0.33058798,60,test_00890,6,horse,clean
11.61893,5.0634475,61,test_00920,6,horse,clean
0.2705987,5.5579886,62,test_00929,6,horse,clean
-39.276978,-35.677425,63,test_00962,8,ship,clean
-5.656086,6.3912306,64,test_00964,6,horse,clean
3.819815,4.459777,65,test_00977,6,horse,clean
38.28685,27.033073,66,test_00979,3,cat,clean
-37.807552,25.697655,67,test_00981,2,car,clean
-30.888588,0.7008629,68,test_01022,9,truck,clean
57.702583,-7.910773,69,test_01032,7,monkey,clean
42.26708,2.1523395,70,test_01048,7,monkey,clean
40.392193,-26.951872,71,test_01090,1,bird,clean
27.595526,28.553522,72,test_01095,5,dog,clean
39.322052,-29.275276,73,test_01109,1,bird,clean
1.7976407,-34.295364,74,test_01111,4,deer,clean
45.99402,-20.5844,75,test_01115,1,bird,clean
17.592878,-31.616724,76,test_01124,4,deer,clean
-54.505238,-40.27215,77,test_01129,8,ship,clean
-75.669876,3.478059,78,test_01175,0,airplane,clean
-36.60677,34.955463,79,test_01202,2,car,clean
54.071613,23.4394,80,test_01204,3,cat,clean
5.4080343,-29.437063,81,test_01211,4,deer,clean
51.280968,2.6671,82,test_01220,7,monkey,clean
56.844368,-11.75619,83,test_01230,1,bird,clean
-39.80722,-28.245125,84,test_01247,8,ship,clean
43.668133,14.417285,85,test_01263,3,cat,clean
15.316441,-31.890608,86,test_01266,4,deer,clean
