projection_x,projection_y,pair_index,image_identifier,class_index,class_name,condition
-64.43736,-23.110586,0,test_00003,0,airplane,clean
68.99657,8.339635,1,test_00029,7,monkey,clean
-43.550858,-6.618207,2,test_00035,2,car,clean
-64.43627,-33.980713,3,test_00042,0,airplane,clean
-37.841145,-7.3994894,4,test_00049,2,car,clean
-66.24889,-37.73137,5,test_00081,0,airplane,clean
48.12786,-32.024616,6,test_00095,1,bird,clean
21.923561,30.938866,7,test_00097,5,dog,clean
41.448208,-36.68364,8,test_00116,1,bird,clean
-40.119503,23.001255,9,test_00131,9,truck,clean
-68.2664,22.99051,10,test_00151,8,ship,clean
17.364489,-30.859667,11,test_00171,4,deer,clean
47.21617,16.964811,12,test_00176,3,cat,clean
-36.724487,4.482146,13,test_00191,9,truck,clean
-70.21379,17.551779,14,test_00194,8,ship,clean
54.876015,-23.772993,15,test_00198,1,bird,clean
-38.115234,14.606995,16,test_00239,9,truck,clean
37.279095,-25.949108,17,test_00261,1,bird,clean
65.800865,10.272422,18,test_00269,7,monkey,clean
-33.07602,22.980059,19,test_00276,9,truck,clean
-45.610485,14.591199,20,test_00303,9,truck,clean
37.643757,-21.45497,21,test_00304,1,bird,clean
-34.633083,-15.021184,22,test_00317,2,car,clean
22.090975,41.241016,23,test_00319,5,dog,clean
62.47402,11.062187,24,test_00323,7,monkey,clean
37.272907,33.489685,25,test_00365,3,cat,clean
62.17923,7.195244,26,test_00370,7,monkey,clean
45.191685,29.278234,27,test_00372,3,cat,clean
24.024359,34.00717,28,test_00378,5,dog,clean
37.078255,8.4238405,29,test_00391,3,cat,clean
-32.46708,-15.73807,30,test_00409,2,car,clean
-35.281784,13.143677,31,test_00419,9,truck,clean
7.8859167,0.5161043,32,test_00449,6,horse,clean
-33.81427,-20.445118,33,test_00470,2,car,clean
-35.325394,-1.0813313,34,test_00483,2,car,clean
-49.349556,-33.11457,35,test_00484,0,airplane,clean
19.560518,-36.594654,36,test_00506,4,deer,clean
0.691954,-4.9380574,37,test_00545,6,horse,clean
-56.11165,-35.367115,38,test_00562,0,airplane,clean
29.13486,40.632896,39,test_00568,5,dog,clean
-37.851814,11.177721,40,test_00603,9,truck,clean
44.897167,15.63806,41,test_00632,3,cat,clean
16.225925,26.22062,42,test_00645,5,dog,clean
-80.395004,17.504345,43,test_00667,8,ship,clean
43.356827,10.665046,44,test_00672,3,cat,clean
39.490833,32.810013,45,test_00677,3,cat,clean
25.192413,31.9267,46,test_00685,5,dog,clean
21.957842,-32.046753,47,test_00691,4,deer,clean
-71.37573,8.159322,48,test_00706,8,ship,clean
-44.051605,3.9676156,49,test_00714,2,car,clean
-66.018776,23.033792,50,test_00716,8,ship,clean
38.416958,38.445374,51,test_00738,3,cat,clean
-68.24067,18.536715,52,test_00739,8,ship,clean
6.8805437,-3.1257493,53,test_00766,4,deer,clean
39.997334,34.18122,54,test_00791,3,cat,clean
-27.486637,19.95362,55,test_00805,9,truck,clean
41.508892,-28.607208,56,test_00825,1,bird,clean
-41.957573,14.385829,57,test_00852,9,truck,clean
7.514475,-23.871391,58,test_00855,4,deer,clean
7.7953696,-19.54525,59,test_00873,6,horse,clean
5.5681925,1.5159959,60,test_00890,6,horse,clean
13.848792,4.1572533,61,test_00920,6,horse,clean
0.3944181,8.695339,62,test_00929,6,horse,clean
-70.880516,23.592285,63,test_00962,8,ship,clean
