projection_x,projection_y,pair_index,image_identifier,class_index,class_name,condition
-74.88218,-2.250764,0,test_00003,0,airplane,clean
67.90015,11.258021,1,test_00029,7,monkey,clean
-47.20226,21.742876,2,test_00035,2,car,clean
-69.4955,7.310335,3,test_00042,0,airplane,clean
-41.97667,26.167833,4,test_00049,2,car,clean
-67.89055,12.479001,5,test_00081,0,airplane,clean
49.5077,-33.84962,6,test_00095,1,bird,clean
22.407282,29.947138,7,test_00097,5,dog,clean
40.95042,-36.43435,8,test_00116,1,bird,clean
-33.73325,-9.944349,9,test_00131,9,truck,clean
-40.86249,-34.63099,10,test_00151,8,ship,clean
20.140135,-31.676142,11,test_00171,4,deer,clean
41.718987,10.297861,12,test_00176,3,cat,clean
-36.76928,7.945346,13,test_00191,9,truck,clean
-44.13781,-37.190777,14,test_00194,8,ship,clean
56.783134,-29.536524,15,test_00198,1,bird,clean
-36.169865,-1.2958705,16,test_00239,9,truck,clean
56.51625,-15.465383,17,test_00261,1,bird,clean
64.64064,11.938905,18,test_00269,7,monkey,clean
-28.0008,-5.190648,19,test_00276,9,truck,clean
-42.96471,-4.5786347,20,test_00303,9,truck,clean
36.32579,-25.781563,21,test_00304,1,bird,clean
-38.6816,30.680433,22,test_00317,2,car,clean
28.166286,39.09517,23,test_00319,5,dog,clean
61.40631,10.585152,24,test_00323,7,monkey,clean
38.995934,30.218283,25,test_00365,3,cat,clean
66.43613,7.2974257,26,test_00370,7,monkey,clean
46.008564,34.01339,27,test_00372,3,cat,clean
25.214018,30.778852,28,test_00378,5,dog,clean
38.74614,-3.4904222,29,test_00391,3,cat,clean
-36.735832,31.883133,30,test_00409,2,car,clean
-34.910847,1.4010205,31,test_00419,9,truck,clean
11.26534,0.5849589,32,test_00449,6,horse,clean
-37.46683,35.885044,33,test_00470,2,car,clean
-43.74359,28.497509,34,test_00483,2,car,clean
-84.15259,11.4418,35,test_00484,0,airplane,clean
21.042517,-35.31256,36,test_00506,4,deer,clean
-5.4048676,-5.621843,37,test_00545,6,horse,clean
-76.76999,11.454874,38,test_00562,0,airplane,clean
24.689299,38.295826,39,test_00568,5,dog,clean
-37.56834,2.3936481,40,test_00603,9,truck,clean
40.256943,8.239871,41,test_00632,3,cat,clean
18.181675,23.782232,42,test_00645,5,dog,clean
-50.510815,-43.87744,43,test_00667,8,ship,clean
45.614994,4.0253606,44,test_00672,3,cat,clean
40.58829,27.518265,45,test_00677,3,cat,clean
27.70486,31.196018,46,test_00685,5,dog,clean
23.697367,-27.88904,47,test_00691,4,deer,clean
-54.806282,-31.069208,48,test_00706,8,ship,clean
-41.591877,10.550641,49,test_00714,2,car,clean
-38.873943,-33.30661,50,test_00716,8,ship,clean
37.299442,35.453773,51,test_00738,3,cat,clean
-45.279167,-33.68524,52,test_00739,8,ship,clean
8.982552,-3.0912247,53,test_00766,4,deer,clean
41.600563,29.25873,54,test_00791,3,cat,clean
-24.53193,-6.289508,55,test_00805,9,truck,clean
42.568916,-27.985548,56,test_00825,1,bird,clean
-38.836353,-3.382497,57,test_00852,9,truck,clean
7.3122215,-28.663944,58,test_00855,4,deer,clean
7.445986,-21.118355,59,test_00873,6,horse,clean
6.7086887,0.1811814,60,test_00890,6,horse,clean
12.295473,3.873573,61,test_00920,6,horse,clean
0.39012122,6.2913523,62,test_00929,6,horse,clean
-40.433666,-37.06874,63,test_00962,8,ship,clean
-5.56888,6.273534,64,test_00964,6,horse,clean
4.0373836,5.4535413,65,test_00977,6,horse,clean
38.335564,24.925905,66,test_00979,3,cat,clean
-35.41602,24.713228,67,test_00981,2,car,clean
-32.57097,-0.19516924,68,test_01022,9,truck,clean
64.16881,-5.045559,69,test_01032,7,monkey,clean
72.80129,-3.0165427,70,test_01048,7,monkey,clean
43.32192,-29.308376,71,test_01090,1,bird,clean
26.848133,28.464088,72,test_01095,5,dog,clean
42.255203,-31.718983,73,test_01109,1,bird,clean
9.06909,-32.990154,74,test_01111,4,deer,clean
56.644077,-22.074581,75,test_01115,1,bird,clean
22.73446,-31.62919,76,test_01124,4,deer,clean
-57.097786,-38.887547,77,test_01129,8,ship,clean
-75.08867,8.408643,78,test_01175,0,airplane,clean
-33.720398,33.028496,79,test_01202,2,car,clean
40.711357,13.053776,80,test_01204,3,cat,clean
9.966533,-29.352554,81,test_01211,4,deer,clean
57.921574,4.2008634,82,test_01220,7,monkey,clean
62.588306,-9.085673,83,test_01230,1,bird,clean
-39.592716,-30.622591,84,test_01247,8,ship,clean
40.154396,1.199949,85,test_01263,3,cat,clean
19.115648,-29.448347,86,test_01266,4,deer,clean
51.466442,8.522725,87,test_01287,7,monkey,clean
57.61504,6.6408195,88,test_01296,7,monkey,clean
38.441925,28.661062,89,test_01370,3,cat,clean
-74.65911,10.358665,90,test_01389,0,airplane,clean
46.520622,25.39367,91,test_01401,3,cat,clean
-35.25502,15.011728,92,test_01403,2,car,clean
-40.024048,-5.778914,93,test_01411,9,truck,clean
