projection_x,projection_y,pair_index,image_identifier,class_index,class_name,condition
10.940628,23.946678,0,shape_airplane_texture_cat_000,0,airplane,clean
13.526401,28.270796,1,shape_airplane_texture_cat_003,0,airplane,clean
12.0086,23.329697,2,shape_airplane_texture_cat_004,0,airplane,clean
9.632416,23.444464,3,shape_airplane_texture_cat_005,0,airplane,clean
13.515748,28.241152,4,shape_airplane_texture_cat_006,0,airplane,clean
11.23659,25.301212,5,shape_airplane_texture_cat_008,0,airplane,clean
8.790182,24.077135,6,shape_airplane_texture_cat_009,0,airplane,clean
10.291108,26.055159,7,shape_airplane_texture_cat_010,0,airplane,clean
8.419112,25.165571,8,shape_airplane_texture_cat_011,0,airplane,clean
12.045691,24.516996,9,shape_airplane_texture_cat_012,0,airplane,clean
10.799736,25.076897,10,shape_airplane_texture_cat_017,0,airplane,clean
12.061862,22.846624,11,shape_airplane_texture_cat_018,0,airplane,clean
8.568692,26.475033,12,shape_airplane_texture_cat_019,0,airplane,clean
9.315409,27.321795,13,shape_airplane_texture_cat_021,0,airplane,clean
8.902214,25.092089,14,shape_airplane_texture_cat_022,0,airplane,clean
10.337475,23.965532,15,shape_airplane_texture_cat_023,0,airplane,clean
12.570376,22.813957,16,shape_airplane_texture_cat_024,0,airplane,clean
9.805431,25.285131,17,shape_airplane_texture_cat_025,0,airplane,clean
9.047853,26.127983,18,shape_airplane_texture_cat_027,0,airplane,clean
10.625378,1.741575,19,shape_cat_texture_airplane_000,3,cat,clean
11.371416,2.8793254,20,shape_cat_texture_airplane_001,3,cat,clean
14.686454,-2.413224,21,shape_cat_texture_airplane_002,3,cat,clean
15.491862,-5.191197,22,shape_cat_texture_airplane_004,3,cat,clean
13.186712,2.7446542,23,shape_cat_texture_airplane_005,3,cat,clean
11.402574,-0.8183825,24,shape_cat_texture_airplane_006,3,cat,clean
8.979831,-0.54582655,25,shape_cat_texture_airplane_007,3,cat,clean
12.257703,-1.6327227,26,shape_cat_texture_airplane_008,3,cat,clean
15.059999,-3.199658,27,shape_cat_texture_airplane_009,3,cat,clean
10.699729,0.76273876,28,shape_cat_texture_airplane_012,3,cat,clean
