projection_x,projection_y,pair_index,image_identifier,class_index,class_name,condition
15.553879,36.0886,0,test_00003,0,airplane,clean
-57.185272,-1.9836504,1,test_00029,7,monkey,clean
45.8562,-19.758211,2,test_00035,2,car,clean
10.47296,46.765602,3,test_00042,0,airplane,clean
41.224636,-21.127752,4,test_00049,2,car,clean
18.833725,37.55204,5,test_00081,0,airplane,clean
-32.736908,33.329727,6,test_00095,1,bird,clean
-31.295628,-13.841273,7,test_00097,5,dog,clean
-24.294128,25.58228,8,test_00116,1,bird,clean
44.238113,-0.38242567,9,test_00131,9,truck,clean
46.552467,22.906664,10,test_00151,8,ship,clean
-5.314146,0.2655106,11,test_00171,4,deer,clean
-31.357944,6.063315,12,test_00176,3,cat,clean
45.942448,-9.784178,13,test_00191,9,truck,clean
42.08073,21.666054,14,test_00194,8,ship,clean
-40.38843,25.31104,15,test_00198,1,bird,clean
46.39351,-1.155056,16,test_00239,9,truck,clean
-17.81132,32.956245,17,test_00261,1,bird,clean
-49.69979,0.7155664,18,test_00269,7,monkey,clean
47.6413,-3.7247086,19,test_00276,9,truck,clean
55.27502,-6.7405286,20,test_00303,9,truck,clean
-36.7084,21.26951,21,test_00304,1,bird,clean
40.592243,-31.37666,22,test_00317,2,car,clean
-28.211721,-27.687235,23,test_00319,5,dog,clean
-51.81702,-5.954172,24,test_00323,7,monkey,clean
-24.653578,-0.7588582,25,test_00365,3,cat,clean
-51.587242,-3.2120044,26,test_00370,7,monkey,clean
-28.634344,-2.110219,27,test_00372,3,cat,clean
-32.571724,-15.748786,28,test_00378,5,dog,clean
-33.60026,1.3473736,29,test_00391,3,cat,clean
43.31462,-26.327988,30,test_00409,2,car,clean
46.398964,-6.2043195,31,test_00419,9,truck,clean
-0.38087884,-27.611525,32,test_00449,6,horse,clean
45.43555,-36.465332,33,test_00470,2,car,clean
35.790314,-21.659945,34,test_00483,2,car,clean
24.055155,26.554062,35,test_00484,0,airplane,clean
-16.750853,-5.037279,36,test_00506,4,deer,clean
16.556301,-21.919554,37,test_00545,6,horse,clean
13.982417,33.09654,38,test_00562,0,airplane,clean
-34.0439,-15.7736025,39,test_00568,5,dog,clean
54.24433,4.156826,40,test_00603,9,truck,clean
-29.529276,6.2257686,41,test_00632,3,cat,clean
-22.075636,-23.145033,42,test_00645,5,dog,clean
35.5569,16.670368,43,test_00667,8,ship,clean
-31.781124,2.19546,44,test_00672,3,cat,clean
-24.423061,1.9724295,45,test_00677,3,cat,clean
-15.062618,-30.799204,46,test_00685,5,dog,clean
-10.366904,-6.2435822,47,test_00691,4,deer,clean
41.18733,27.471434,48,test_00706,8,ship,clean
30.859781,-23.457151,49,test_00714,2,car,clean
47.6825,22.839287,50,test_00716,8,ship,clean
-21.45277,-7.7999325,51,test_00738,3,cat,clean
43.765846,21.771984,52,test_00739,8,ship,clean
6.5865993,-17.873598,53,test_00766,4,deer,clean
-25.230371,3.5512874,54,test_00791,3,cat,clean
39.98901,0.6454237,55,test_00805,9,truck,clean
-19.46928,31.29283,56,test_00825,1,bird,clean
51.595974,-8.514178,57,test_00852,9,truck,clean
0.023632169,-13.619191,58,test_00855,4,deer,clean
-7.002364,-26.312881,59,test_00873,6,horse,clean
1.5889661,-25.794664,60,test_00890,6,horse,clean
-5.830831,-21.982004,61,test_00920,6,horse,clean
-4.2176366,-25.095423,62,test_00929,6,horse,clean
41.103264,22.37069,63,test_00962,8,ship,clean
12.46279,-15.466278,64,test_00964,6,horse,clean
2.5324664,-27.439135,65,test_00977,6,horse,clean
-27.038607,-4.7061872,66,test_00979,3,cat,clean
42.178246,-28.904108,67,test_00981,2,car,clean
46.376823,5.8916225,68,test_01022,9,truck,clean
-54.28298,11.105054,69,test_01032,7,monkey,clean
-50.750645,-2.829967,70,test_01048,7,monkey,clean
-18.719257,30.205873,71,test_01090,1,bird,clean
-14.93235,-33.471523,72,test_01095,5,dog,clean
-22.492401,28.059763,73,test_01109,1,bird,clean
2.4242904,-1.7794263,74,test_01111,4,deer,clean
-25.587263,31.228292,75,test_01115,1,bird,clean
-9.314075,-0.0011235151,76,test_01124,4,deer,clean
32.81963,25.98813,77,test_01129,8,ship,clean
8.666582,34.42587,78,test_01175,0,airplane,clean
40.03342,-32.12492,79,test_01202,2,car,clean
-31.294624,9.122826,80,test_01204,3,cat,clean
0.52686065,-4.735474,81,test_01211,4,deer,clean
-59.09064,-10.493559,82,test_01220,7,monkey,clean
-24.81549,21.641233,83,test_01230,1,bird,clean
47.049583,18.396507,84,test_01247,8,ship,clean
-35.414978,-0.40304127,85,test_01263,3,cat,clean
-10.672335,-0.9630637,86,test_01266,4,deer,clean
-60.529617,-10.158535,87,test_01287,7,monkey,clean
-48.294533,3.9275975,88,test_01296,7,monkey,clean
-24.440033,-2.1114357,89,test_01370,3,cat,clean
13.550792,40.531967,90,test_01389,0,airplane,clean
-29.433432,1.3802458,91,test_01401,3,cat,clean
44.9176,-27.877518,92,test_01403,2,car,clean
55.56883,-2.092354,93,test_01411,9,truck,clean
-16.627968,-11.61541,94,test_01429,4,deer,clean
37.499462,0.63230234,95,test_01430,9,truck,clean
-30.294983,-8.416332,96,test_01431,3,cat,clean
-27.488642,36.55353,97,test_01436,1,bird,clean
-53.109634,-6.1484303,98,test_01440,7,monkey,clean
39.873936,-8.835869,99,test_01468,9,truck,clean
-60.134995,1.0049657,100,test_01473,7,monkey,clean
50.938198,-4.935847,101,test_01515,9,truck,clean
51.96435,-19.20215,102,test_01520,2,car,clean
-34.391277,-4.428631,103,test_01531,3,cat,clean
10.870073,-23.110472,104,test_01534,6,horse,clean
-18.386566,-25.243378,105,test_01552,5,dog,clean
13.296348,42.62523,106,test_01553,0,airplane,clean
-41.24471,0.0323727,107,test_01563,3,cat,clean
-28.763538,21.466074,108,test_01568,1,bird,clean
-61.58214,-1.8208032,109,test_01579,7,monkey,clean
38.79441,-27.837185,110,test_01586,2,car,clean
24.125898,25.137978,111,test_01596,0,airplane,clean
-23.51065,-20.042046,112,test_01626,5,dog,clean
33.509247,29.979486,113,test_01640,8,ship,clean
-25.176302,-29.928774,114,test_01644,5,dog,clean
9.523257,40.254345,115,test_01648,0,airplane,clean
43.511486,-2.4911044,116,test_01654,9,truck,clean
9.720913,-24.524982,117,test_01667,6,horse,clean
-62.12794,-10.386508,118,test_01703,7,monkey,clean
-62.434982,-1.5983765,119,test_01711,7,monkey,clean
-49.057823,-9.008918,120,test_01771,7,monkey,clean
35.257435,26.09176,121,test_01783,8,ship,clean
41.190895,-20.336168,122,test_01814,2,car,clean
45.458427,20.013405,123,test_01833,8,ship,clean
56.506744,-5.0984097,124,test_01836,9,truck,clean
40.82247,-27.677053,125,test_01839,2,car,clean
-29.745716,30.009506,126,test_01852,1,bird,clean
-19.395931,15.605686,127,test_01871,1,bird,clean
-19.273853,-26.435698,128,test_01877,5,dog,clean
-54.816956,10.05024,129,test_01884,7,monkey,clean
-52.9896,-1.3281237,130,test_01927,7,monkey,clean
27.040161,22.942106,131,test_01954,8,ship,clean
