projection_x,projection_y,pair_index,image_identifier,class_index,class_name,condition
25.588509,12.716383,0,test_00003,0,airplane,clean
-44.893295,-5.9396777,1,test_00029,7,monkey,clean
48.462868,6.320455,2,test_00035,2,car,clean
21.048548,24.51905,3,test_00042,0,airplane,clean
49.674526,6.9748907,4,test_00049,2,car,clean
29.68695,22.696287,5,test_00081,0,airplane,clean
-23.294611,-35.92719,6,test_00095,1,bird,clean
-24.476154,-12.24237,7,test_00097,5,dog,clean
-10.6490755,-24.19306,8,test_00116,1,bird,clean
49.471493,-7.3668346,9,test_00131,9,truck,clean
70.51372,-13.756863,10,test_00151,8,ship,clean
-24.642895,7.237859,11,test_00171,4,deer,clean
-42.55969,14.175263,12,test_00176,3,cat,clean
46.743332,-4.1733155,13,test_00191,9,truck,clean
70.80601,-7.4186397,14,test_00194,8,ship,clean
-30.63742,-32.287033,15,test_00198,1,bird,clean
49.474957,-4.4213104,16,test_00239,9,truck,clean
-9.80847,-32.93057,17,test_00261,1,bird,clean
-38.3429,-8.490927,18,test_00269,7,monkey,clean
45.66538,-6.1895266,19,test_00276,9,truck,clean
46.459763,-15.41414,20,test_00303,9,truck,clean
-32.485046,-37.072575,21,test_00304,1,bird,clean
45.36099,9.528949,22,test_00317,2,car,clean
-14.219016,-7.726869,23,test_00319,5,dog,clean
-42.626865,-11.7717705,24,test_00323,7,monkey,clean
-37.438416,21.336164,25,test_00365,3,cat,clean
-43.334557,-8.653089,26,test_00370,7,monkey,clean
-50.29287,17.57626,27,test_00372,3,cat,clean
-21.750557,-12.969891,28,test_00378,5,dog,clean
-39.780888,13.254746,29,test_00391,3,cat,clean
51.429028,13.935178,30,test_00409,2,car,clean
47.409595,-6.201058,31,test_00419,9,truck,clean
-7.9300385,3.2817852,32,test_00449,6,horse,clean
54.41193,19.572515,33,test_00470,2,car,clean
37.91328,7.15824,34,test_00483,2,car,clean
26.195223,-3.552895,35,test_00484,0,airplane,clean
-31.886812,11.598856,36,test_00506,4,deer,clean
6.0653977,2.8852859,37,test_00545,6,horse,clean
21.390406,11.92337,38,test_00562,0,airplane,clean
-21.962814,-13.768351,39,test_00568,5,dog,clean
52.561134,-4.7390785,40,test_00603,9,truck,clean
-44.384224,14.784746,41,test_00632,3,cat,clean
-11.005722,16.385725,42,test_00645,5,dog,clean
74.40379,-8.015939,43,test_00667,8,ship,clean
-47.811375,10.609077,44,test_00672,3,cat,clean
-40.97003,21.626692,45,test_00677,3,cat,clean
-10.281351,22.36349,46,test_00685,5,dog,clean
-29.553308,5.1582274,47,test_00691,4,deer,clean
64.74644,-2.906722,48,test_00706,8,ship,clean
35.557297,5.4421425,49,test_00714,2,car,clean
70.51865,-14.487578,50,test_00716,8,ship,clean
-1.8227638,27.081728,51,test_00738,3,cat,clean
71.62913,-9.2196865,52,test_00739,8,ship,clean
-8.709626,-4.548023,53,test_00766,4,deer,clean
-42.833134,21.433884,54,test_00791,3,cat,clean
38.18673,-9.671716,55,test_00805,9,truck,clean
-11.573812,-32.11519,56,test_00825,1,bird,clean
45.759262,-13.453819,57,test_00852,9,truck,clean
-1.3130924,12.292306,58,test_00855,4,deer,clean
-5.715319,-15.326184,59,test_00873,6,horse,clean
-5.827107,1.603036,60,test_00890,6,horse,clean
-4.462403,-8.829151,61,test_00920,6,horse,clean
-3.1214526,8.083925,62,test_00929,6,horse,clean
69.32724,-8.112759,63,test_00962,8,ship,clean
2.9372585,-4.9401135,64,test_00964,6,horse,clean
-4.0283675,-0.105536364,65,test_00977,6,horse,clean
-42.089985,24.976027,66,test_00979,3,cat,clean
46.76574,12.353393,67,test_00981,2,car,clean
44.992485,-8.288335,68,test_01022,9,truck,clean
-40.193348,-19.09796,69,test_01032,7,monkey,clean
-43.202084,-9.48457,70,test_01048,7,monkey,clean
-12.164152,-32.089367,71,test_01090,1,bird,clean
-11.116594,24.090153,72,test_01095,5,dog,clean
-15.841554,-32.564114,73,test_01109,1,bird,clean
-21.85316,2.216148,74,test_01111,4,deer,clean
-25.855719,-25.508541,75,test_01115,1,bird,clean
-27.83511,8.424835,76,test_01124,4,deer,clean
68.78248,-0.647146,77,test_01129,8,ship,clean
21.664726,15.756898,78,test_01175,0,airplane,clean
44.989162,10.095583,79,test_01202,2,car,clean
-45.20563,12.03404,80,test_01204,3,cat,clean
-18.374874,1.640651,81,test_01211,4,deer,clean
-53.10624,-3.845015,82,test_01220,7,monkey,clean
-29.868952,-22.05262,83,test_01230,1,bird,clean
73.7974,-12.841409,84,test_01247,8,ship,clean
-36.80496,11.490069,85,test_01263,3,cat,clean
-30.630896,8.871791,86,test_01266,4,deer,clean
