projection_x,projection_y,pair_index,image_identifier,class_index,class_name,condition
13.768893,-30.391617,0,test_00003,0,airplane,clean
-69.05617,-2.8232791,1,test_00029,7,monkey,clean
48.631573,23.645123,2,test_00035,2,car,clean
6.085152,-42.73429,3,test_00042,0,airplane,clean
46.170788,26.788727,4,test_00049,2,car,clean
16.438623,-49.2095,5,test_00081,0,airplane,clean
-32.921253,-33.968193,6,test_00095,1,bird,clean
-33.62225,24.253658,7,test_00097,5,dog,clean
-26.212,-28.50856,8,test_00116,1,bird,clean
55.387802,3.6422677,9,test_00131,9,truck,clean
59.230843,-27.950594,10,test_00151,8,ship,clean
-16.530348,-2.7922914,11,test_00171,4,deer,clean
-40.581432,1.5730336,12,test_00176,3,cat,clean
53.08336,14.373536,13,test_00191,9,truck,clean
54.67614,-26.61876,14,test_00194,8,ship,clean
-43.87623,-24.23361,15,test_00198,1,bird,clean
53.368366,1.6904596,16,test_00239,9,truck,clean
-17.058739,-25.640512,17,test_00261,1,bird,clean
-56.724567,-3.690161,18,test_00269,7,monkey,clean
52.579456,5.3344617,19,test_00276,9,truck,clean
59.29215,11.769906,20,test_00303,9,truck,clean
-43.81226,-29.143278,21,test_00304,1,bird,clean
43.14827,31.322891,22,test_00317,2,car,clean
-10.406673,30.888056,23,test_00319,5,dog,clean
-66.41869,-4.196249,24,test_00323,7,monkey,clean
-33.904568,11.304522,25,test_00365,3,cat,clean
-61.49529,-2.5118737,26,test_00370,7,monkey,clean
-46.03425,7.765875,27,test_00372,3,cat,clean
-35.7138,26.359827,28,test_00378,5,dog,clean
-44.272038,5.4332247,29,test_00391,3,cat,clean
48.93133,32.358852,30,test_00409,2,car,clean
52.754814,9.666247,31,test_00419,9,truck,clean
3.0923088,18.782621,32,test_00449,6,horse,clean
37.103504,35.844917,33,test_00470,2,car,clean
37.612946,26.034563,34,test_00483,2,car,clean
36.46823,-26.107775,35,test_00484,0,airplane,clean
-26.668941,4.619385,36,test_00506,4,deer,clean
15.954089,9.804764,37,test_00545,6,horse,clean
21.958958,-33.085716,38,test_00562,0,airplane,clean
-37.78287,26.680145,39,test_00568,5,dog,clean
61.478638,-1.5728675,40,test_00603,9,truck,clean
-43.08183,1.1377597,41,test_00632,3,cat,clean
-23.113094,28.78537,42,test_00645,5,dog,clean
48.40001,-22.968477,43,test_00667,8,ship,clean
-45.86655,3.097154,44,test_00672,3,cat,clean
-36.12437,9.34675,45,test_00677,3,cat,clean
-2.5014338,30.113222,46,test_00685,5,dog,clean
-24.244612,1.509013,47,test_00691,4,deer,clean
46.879025,-34.28085,48,test_00706,8,ship,clean
34.46153,21.693548,49,test_00714,2,car,clean
61.30866,-27.725578,50,test_00716,8,ship,clean
10.066389,-2.3096955,51,test_00738,3,cat,clean
56.514385,-26.72736,52,test_00739,8,ship,clean
-1.2859073,11.785975,53,test_00766,4,deer,clean
-36.901817,7.3055987,54,test_00791,3,cat,clean
44.16999,1.4052542,55,test_00805,9,truck,clean
-20.81594,-26.786444,56,test_00825,1,bird,clean
55.004593,7.60518,57,test_00852,9,truck,clean
-4.7950373,6.755864,58,test_00855,4,deer,clean
-14.611203,16.618284,59,test_00873,6,horse,clean
5.060882,20.290827,60,test_00890,6,horse,clean
-10.331468,17.935781,61,test_00920,6,horse,clean
-1.6044149,16.073763,62,test_00929,6,horse,clean
51.865883,-25.674301,63,test_00962,8,ship,clean
8.626586,10.4247,64,test_00964,6,horse,clean
4.8803706,25.528349,65,test_00977,6,horse,clean
-38.578705,13.223695,66,test_00979,3,cat,clean
47.408916,35.59143,67,test_00981,2,car,clean
52.761665,-3.1310716,68,test_01022,9,truck,clean
-59.739902,-18.376238,69,test_01032,7,monkey,clean
-59.87436,-2.2585711,70,test_01048,7,monkey,clean
-20.593954,-24.78446,71,test_01090,1,bird,clean
0.21509342,32.184017,72,test_01095,5,dog,clean
-27.101387,-24.845905,73,test_01109,1,bird,clean
-4.314201,-2.7828968,74,test_01111,4,deer,clean
-32.071804,-20.675352,75,test_01115,1,bird,clean
-21.01356,0.089649044,76,test_01124,4,deer,clean
43.86463,-29.395168,77,test_01129,8,ship,clean
14.414683,-42.532124,78,test_01175,0,airplane,clean
41.99424,33.29343,79,test_01202,2,car,clean
-45.203083,-1.5104834,80,test_01204,3,cat,clean
-10.1633625,5.2973213,81,test_01211,4,deer,clean
-71.074104,4.28305,82,test_01220,7,monkey,clean
-27.756369,-20.30509,83,test_01230,1,bird,clean
61.931282,-24.692259,84,test_01247,8,ship,clean
-44.640472,10.969098,85,test_01263,3,cat,clean
-21.05741,5.6332874,86,test_01266,4,deer,clean
-70.1919,6.650734,87,test_01287,7,monkey,clean
-54.59411,-10.376098,88,test_01296,7,monkey,clean
-35.484608,13.098946,89,test_01370,3,cat,clean
17.502665,-39.15294,90,test_01389,0,airplane,clean
-42.180157,7.51164,91,test_01401,3,cat,clean
46.733253,31.240662,92,test_01403,2,car,clean
60.59972,4.032479,93,test_01411,9,truck,clean
-23.289688,12.142938,94,test_01429,4,deer,clean
46.162163,-0.873841,95,test_01430,9,truck,clean
-39.103928,20.850258,96,test_01431,3,cat,clean
-24.250822,-33.85815,97,test_01436,1,bird,clean
-65.666145,-1.8588496,98,test_01440,7,monkey,clean
43.00248,12.540046,99,test_01468,9,truck,clean
-69.60253,-10.387517,100,test_01473,7,monkey,clean
57.76841,9.365042,101,test_01515,9,truck,clean
56.99389,22.720156,102,test_01520,2,car,clean
-43.040504,16.624521,103,test_01531,3,cat,clean
19.302528,18.254202,104,test_01534,6,horse,clean
-17.358326,29.167067,105,test_01552,5,dog,clean
9.387999,-36.825607,106,test_01553,0,airplane,clean
-50.926815,-1.4624816,107,test_01563,3,cat,clean
-35.975716,-13.685558,108,test_01568,1,bird,clean
-74.25631,-0.7651231,109,test_01579,7,monkey,clean
52.239918,36.43688,110,test_01586,2,car,clean
35.373943,-23.92638,111,test_01596,0,airplane,clean
-23.335196,24.966373,112,test_01626,5,dog,clean
41.25888,-33.32834,113,test_01640,8,ship,clean
-10.415734,37.110043,114,test_01644,5,dog,clean
13.479999,-37.278255,115,test_01648,0,airplane,clean
49.129475,14.406778,116,test_01654,9,truck,clean
18.135668,19.631723,117,test_01667,6,horse,clean
-67.101585,9.79749,118,test_01703,7,monkey,clean
-72.33649,-0.18445289,119,test_01711,7,monkey,clean
-56.408527,3.0654504,120,test_01771,7,monkey,clean
46.35407,-30.730537,121,test_01783,8,ship,clean
46.463245,25.228464,122,test_01814,2,car,clean
58.748062,-24.168936,123,test_01833,8,ship,clean
62.109444,14.053246,124,test_01836,9,truck,clean
49.704624,35.67248,125,test_01839,2,car,clean
-32.135532,-29.410067,126,test_01852,1,bird,clean
-12.156309,-15.108642,127,test_01871,1,bird,clean
-15.92447,31.81944,128,test_01877,5,dog,clean
-62.91145,-18.538681,129,test_01884,7,monkey,clean
-62.96448,-5.1683836,130,test_01927,7,monkey,clean
39.852394,-17.91562,131,test_01954,8,ship,clean
-31.727493,-1.8246073,132,test_01956,7,monkey,clean
-22.034365,16.317009,133,test_01960,4,deer,clean
16.938017,-41.64273,134,test_01977,0,airplane,clean
-7.573644,-16.576838,135,test_01986,1,bird,clean
-31.057783,-30.970182,136,test_01993,1,bird,clean
3.45148,16.048903,137,test_02003,6,horse,clean
63.912663,7.5445476,138,test_02011,9,truck,clean
22.522427,-20.795824,139,test_02024,0,airplane,clean
-48.364094,5.218974,140,test_02028,3,cat,clean
59.452343,8.118473,141,test_02062,9,truck,clean
-40.127926,-30.493847,142,test_02070,1,bird,clean
39.891243,21.98774,143,test_02082,2,car,clean
-39.958176,-26.191088,144,test_02095,1,bird,clean
43.975784,-35.627663,145,test_02109,8,ship,clean
43.946342,11.599601,146,test_02114,9,truck,clean
-37.644222,1.30085,147,test_02116,1,bird,clean
-36.695797,-26.33014,148,test_02157,1,bird,clean
36.948944,4.5325727,149,test_02167,9,truck,clean
-29.269617,-27.72948,150,test_02178,1,bird,clean
44.316063,-25.41161,151,test_02191,8,ship,clean
55.87586,-20.84381,152,test_02230,8,ship,clean
28.644058,-25.743994,153,test_02242,0,airplane,clean
-18.68074,30.620018,154,test_02265,5,dog,clean
-36.052685,27.934076,155,test_02268,5,dog,clean
-48.966446,1.6569954,156,test_02291,3,cat,clean
-18.02062,36.585575,157,test_02334,5,dog,clean
55.40512,-25.195759,158,test_02340,8,ship,clean
57.84679,-32.530087,159,test_02342,8,ship,clean
59.76935,12.884284,160,test_02351,9,truck,clean
-27.513937,35.473244,161,test_02391,5,dog,clean
49.079586,25.84791,162,test_02392,2,car,clean
-11.16441,-8.115562,163,test_02399,4,deer,clean
40.621803,-7.190273,164,test_02414,9,truck,clean
-14.309313,35.187782,165,test_02427,5,dog,clean
-24.499666,34.235985,166,test_02458,5,dog,clean
-61.604626,-6.3320746,167,test_02501,7,monkey,clean
33.34776,36.800053,168,test_02502,2,car,clean
-42.350025,-1.4583657,169,test_02536,3,cat,clean
-33.98887,-5.9738226,170,test_02539,3,cat,clean
10.46509,5.1602917,171,test_02610,6,horse,clean
-18.582003,23.295767,172,test_02623,5,dog,clean
50.705616,8.33605,173,test_02655,9,truck,clean
-67.83536,5.85071,174,test_02668,7,monkey,clean
19.675734,14.846484,175,test_02676,6,horse,clean
-35.922997,-29.446354,176,test_02687,1,bird,clean
-37.507687,-33.301464,177,test_02690,1,bird,clean
-20.088621,3.1653519,178,test_02704,4,deer,clean
52.265797,-28.091002,179,test_02745,8,ship,clean
-69.09036,-6.8676605,180,test_02746,7,monkey,clean
31.828733,-26.138557,181,test_02750,0,airplane,clean
-37.296104,-1.664402,182,test_02754,3,cat,clean
-11.501333,11.254171,183,test_02757,4,deer,clean
-32.514996,26.72007,184,test_02766,5,dog,clean
-43.977936,-13.003972,185,test_02807,5,dog,clean
