projection_x,projection_y,pair_index,image_identifier,class_index,class_name,condition
28.396656,-29.850294,0,test_00003,0,airplane,clean
-67.45841,4.211814,1,test_00029,7,monkey,clean
49.5847,24.12814,2,test_00035,2,car,clean
20.707506,-46.544815,3,test_00042,0,airplane,clean
45.109512,26.78472,4,test_00049,2,car,clean
30.586267,-35.497875,5,test_00081,0,airplane,clean
-23.218117,-40.615467,6,test_00095,1,bird,clean
-37.710762,18.574425,7,test_00097,5,dog,clean
-19.394394,-29.750095,8,test_00116,1,bird,clean
53.91149,5.977021,9,test_00131,9,truck,clean
60.53431,-27.091578,10,test_00151,8,ship,clean
-18.958359,-2.325883,11,test_00171,4,deer,clean
-40.573994,-12.884937,12,test_00176,3,cat,clean
54.101536,16.813921,13,test_00191,9,truck,clean
58.500084,-21.819843,14,test_00194,8,ship,clean
-35.426075,-35.701584,15,test_00198,1,bird,clean
56.741455,4.6334906,16,test_00239,9,truck,clean
-8.681371,-30.320835,17,test_00261,1,bird,clean
-66.16323,0.5851062,18,test_00269,7,monkey,clean
55.689415,8.224902,19,test_00276,9,truck,clean
62.85022,15.407998,20,test_00303,9,truck,clean
-32.455967,-40.998814,21,test_00304,1,bird,clean
39.890224,30.29522,22,test_00317,2,car,clean
-10.331527,29.07582,23,test_00319,5,dog,clean
-64.29852,5.8917747,24,test_00323,7,monkey,clean
-32.669933,-5.133701,25,test_00365,3,cat,clean
-60.49856,3.4726028,26,test_00370,7,monkey,clean
-42.670513,-4.8481646,27,test_00372,3,cat,clean
-40.8446,19.450386,28,test_00378,5,dog,clean
-44.601833,-10.147057,29,test_00391,3,cat,clean
53.171024,34.70611,30,test_00409,2,car,clean
54.951565,11.904231,31,test_00419,9,truck,clean
2.615443,20.771,32,test_00449,6,horse,clean
34.557945,35.828125,33,test_00470,2,car,clean
36.58454,26.322184,34,test_00483,2,car,clean
36.86304,-19.453878,35,test_00484,0,airplane,clean
-29.38071,4.6178293,36,test_00506,4,deer,clean
15.217323,13.496512,37,test_00545,6,horse,clean
24.634113,-29.420998,38,test_00562,0,airplane,clean
-43.003212,20.034725,39,test_00568,5,dog,clean
65.816666,3.173082,40,test_00603,9,truck,clean
-43.07288,-12.555191,41,test_00632,3,cat,clean
-23.80365,27.557514,42,test_00645,5,dog,clean
55.269447,-16.815722,43,test_00667,8,ship,clean
-44.454857,-7.7733235,44,test_00672,3,cat,clean
-33.63683,-8.519566,45,test_00677,3,cat,clean
-5.162511,31.671547,46,test_00685,5,dog,clean
-26.396534,1.7137965,47,test_00691,4,deer,clean
48.21435,-20.789099,48,test_00706,8,ship,clean
34.100296,18.832254,49,test_00714,2,car,clean
62.653088,-27.03558,50,test_00716,8,ship,clean
1.3024092,1.5095856,51,test_00738,3,cat,clean
60.633675,-22.683708,52,test_00739,8,ship,clean
-2.7418618,13.556324,53,test_00766,4,deer,clean
-35.590946,-9.79077,54,test_00791,3,cat,clean
51.525917,3.5565186,55,test_00805,9,truck,clean
-12.138892,-30.307089,56,test_00825,1,bird,clean
58.726215,7.6004715,57,test_00852,9,truck,clean
-9.273686,8.978165,58,test_00855,4,deer,clean
-16.359838,16.737469,59,test_00873,6,horse,clean
1.5775068,23.255236,60,test_00890,6,horse,clean
-12.735088,18.652908,61,test_00920,6,horse,clean
-6.1085973,22.641226,62,test_00929,6,horse,clean
56.18026,-21.562475,63,test_00962,8,ship,clean
6.864153,13.649111,64,test_00964,6,horse,clean
3.6002913,25.512575,65,test_00977,6,horse,clean
-36.10598,-5.144317,66,test_00979,3,cat,clean
42.252964,36.883015,67,test_00981,2,car,clean
55.163116,1.5680597,68,test_01022,9,truck,clean
-67.181694,-12.486015,69,test_01032,7,monkey,clean
-58.900024,2.1264584,70,test_01048,7,monkey,clean
-12.369583,-28.314224,71,test_01090,1,bird,clean
-3.5623062,34.31341,72,test_01095,5,dog,clean
-17.732576,-32.56933,73,test_01109,1,bird,clean
-6.5052204,-1.6296968,74,test_01111,4,deer,clean
-22.932526,-30.233791,75,test_01115,1,bird,clean
-22.782778,1.4315985,76,test_01124,4,deer,clean
49.073215,-28.157782,77,test_01129,8,ship,clean
19.373114,-35.22684,78,test_01175,0,airplane,clean
37.51771,31.258484,79,test_01202,2,car,clean
-46.6777,-13.262617,80,test_01204,3,cat,clean
-13.678675,5.905536,81,test_01211,4,deer,clean
-73.50754,11.330332,82,test_01220,7,monkey,clean
-21.789438,-25.057743,83,test_01230,1,bird,clean
65.928185,-22.458725,84,test_01247,8,ship,clean
-41.724487,-1.487628,85,test_01263,3,cat,clean
-23.790258,6.508414,86,test_01266,4,deer,clean
-72.94258,13.470658,87,test_01287,7,monkey,clean
-60.70939,-6.526418,88,test_01296,7,monkey,clean
-33.758793,-2.6731424,89,test_01370,3,cat,clean
25.651281,-38.193985,90,test_01389,0,airplane,clean
-41.01943,-7.6345134,91,test_01401,3,cat,clean
49.236774,33.779526,92,test_01403,2,car,clean
65.83516,10.542677,93,test_01411,9,truck,clean
-19.772764,11.0362835,94,test_01429,4,deer,clean
42.78756,1.343074,95,test_01430,9,truck,clean
-39.833214,12.55405,96,test_01431,3,cat,clean
-15.383323,-38.040863,97,test_01436,1,bird,clean
-62.007442,6.6325164,98,test_01440,7,monkey,clean
47.117016,15.357932,99,test_01468,9,truck,clean
-72.082664,-1.5048302,100,test_01473,7,monkey,clean
58.689835,12.701042,101,test_01515,9,truck,clean
56.69283,25.70238,102,test_01520,2,car,clean
-39.72659,4.3618417,103,test_01531,3,cat,clean
17.350286,21.857138,104,test_01534,6,horse,clean
-16.28281,26.110233,105,test_01552,5,dog,clean
24.634832,-43.807297,106,test_01553,0,airplane,clean
-52.239723,-6.4091654,107,test_01563,3,cat,clean
-31.548645,-23.140957,108,test_01568,1,bird,clean
-74.48229,6.4124436,109,test_01579,7,monkey,clean
46.63655,34.772587,110,test_01586,2,car,clean
35.055748,-17.574673,111,test_01596,0,airplane,clean
-22.788376,20.388998,112,test_01626,5,dog,clean
45.036724,-28.011953,113,test_01640,8,ship,clean
-12.292118,34.56093,114,test_01644,5,dog,clean
21.589338,-38.697544,115,test_01648,0,airplane,clean
51.117813,7.427895,116,test_01654,9,truck,clean
16.432316,23.460335,117,test_01667,6,horse,clean
-68.339226,15.939788,118,test_01703,7,monkey,clean
-72.46916,6.0184684,119,test_01711,7,monkey,clean
-57.646236,9.340185,120,test_01771,7,monkey,clean
49.7355,-25.849474,121,test_01783,8,ship,clean
45.11995,24.904417,122,test_01814,2,car,clean
63.06176,-21.591349,123,test_01833,8,ship,clean
65.68111,15.738537,124,test_01836,9,truck,clean
44.12708,35.395054,125,test_01839,2,car,clean
-22.642092,-36.20488,126,test_01852,1,bird,clean
-7.047519,-12.049649,127,test_01871,1,bird,clean
-16.64017,28.752726,128,test_01877,5,dog,clean
-70.19032,-11.551586,129,test_01884,7,monkey,clean
-63.566525,1.6005088,130,test_01927,7,monkey,clean
40.555405,-18.69757,131,test_01954,8,ship,clean
-50.772526,0.6805143,132,test_01956,7,monkey,clean
-24.407148,13.872417,133,test_01960,4,deer,clean
16.37244,-35.826794,134,test_01977,0,airplane,clean
-2.4604442,-12.581477,135,test_01986,1,bird,clean
-26.366291,-39.033997,136,test_01993,1,bird,clean
1.1275564,18.643068,137,test_02003,6,horse,clean
61.5223,7.433741,138,test_02011,9,truck,clean
25.370102,-16.237057,139,test_02024,0,airplane,clean
-46.15816,-5.1443443,140,test_02028,3,cat,clean
60.520733,11.606125,141,test_02062,9,truck,clean
-30.831175,-37.562565,142,test_02070,1,bird,clean
38.898964,21.705505,143,test_02082,2,car,clean
-31.744356,-33.44595,144,test_02095,1,bird,clean
46.89841,-23.271452,145,test_02109,8,ship,clean
47.62936,14.065477,146,test_02114,9,truck,clean
-41.657604,-15.504673,147,test_02116,1,bird,clean
-28.426905,-33.53271,148,test_02157,1,bird,clean
39.14302,9.784955,149,test_02167,9,truck,clean
-20.47985,-33.86077,150,test_02178,1,bird,clean
51.634842,-30.916187,151,test_02191,8,ship,clean
61.34393,-16.810425,152,test_02230,8,ship,clean
29.61386,-21.319431,153,test_02242,0,airplane,clean
-14.159157,26.621904,154,test_02265,5,dog,clean
-41.311462,21.289783,155,test_02268,5,dog,clean
-48.95414,-7.471126,156,test_02291,3,cat,clean
-19.726797,32.954422,157,test_02334,5,dog,clean
59.880383,-20.813797,158,test_02340,8,ship,clean
57.017654,-30.683897,159,test_02342,8,ship,clean
61.711643,15.500083,160,test_02351,9,truck,clean
-30.729387,31.690073,161,test_02391,5,dog,clean
49.043224,26.692774,162,test_02392,2,car,clean
-16.21328,-6.402696,163,test_02399,4,deer,clean
40.947918,-3.752822,164,test_02414,9,truck,clean
-15.733447,32.200592,165,test_02427,5,dog,clean
-27.15584,30.698103,166,test_02458,5,dog,clean
-62.80666,-0.018211216,167,test_02501,7,monkey,clean
30.258606,35.323395,168,test_02502,2,car,clean
-44.51295,-14.949826,169,test_02536,3,cat,clean
-32.228443,-17.26153,170,test_02539,3,cat,clean
8.515477,8.371384,171,test_02610,6,horse,clean
-21.423506,23.611013,172,test_02623,5,dog,clean
53.476017,10.124423,173,test_02655,9,truck,clean
-70.28532,12.77295,174,test_02668,7,monkey,clean
13.020035,24.681393,175,test_02676,6,horse,clean
-26.92268,-36.425602,176,test_02687,1,bird,clean
-27.824867,-41.749336,177,test_02690,1,bird,clean
-22.497223,3.9894652,178,test_02704,4,deer,clean
55.99478,-23.892824,179,test_02745,8,ship,clean
-69.66416,1.4992497,180,test_02746,7,monkey,clean
32.969223,-20.713814,181,test_02750,0,airplane,clean
-36.87804,-15.584554,182,test_02754,3,cat,clean
-13.2734375,9.582949,183,test_02757,4,deer,clean
-38.02518,21.34438,184,test_02766,5,dog,clean
-25.080936,-16.73421,185,test_02807,5,dog,clean
44.622646,-21.29752,186,test_02844,8,ship,clean
-70.25433,10.092097,187,test_02854,7,monkey,clean
-39.37737,-5.941767,188,test_02861,3,cat,clean
27.176575,-43.79139,189,test_02888,0,airplane,clean
-14.893254,1.6682378,190,test_02898,4,deer,clean
7.7113123,0.8391798,191,test_02950,5,dog,clean
4.126686,27.331331,192,test_02958,6,horse,clean
58.278103,-18.85266,193,test_03015,8,ship,clean
42.792027,22.86129,194,test_03024,2,car,clean
22.668427,-24.573574,195,test_03025,0,airplane,clean
-16.545273,3.9195387,196,test_03034,4,deer,clean
46.725887,25.57132,197,test_03067,2,car,clean
-24.60033,3.314292,198,test_03078,4,deer,clean
-16.888288,-39.21285,199,test_03079,1,bird,clean
33.959793,-15.984841,200,test_03083,0,airplane,clean
-26.055557,5.3701077,201,test_03122,4,deer,clean
-68.435974,12.928926,202,test_03153,7,monkey,clean
55.750256,-19.582254,203,test_03157,8,ship,clean
46.366756,30.973347,204,test_03163,2,car,clean
-6.33448,1.3749433,205,test_03179,4,deer,clean
13.239792,15.271922,206,test_03191,6,horse,clean
-46.346527,-0.35652646,207,test_03276,3,cat,clean
-15.688718,-0.71351945,208,test_03287,4,deer,clean
-71.65204,14.410207,209,test_03288,7,monkey,clean
10.97592,18.711756,210,test_03292,6,horse,clean
47.86501,3.0720522,211,test_03318,9,truck,clean
13.426561,-30.510725,212,test_03347,0,airplane,clean
0.9572392,-3.279207,213,test_03353,5,dog,clean
32.534397,33.79729,214,test_03362,2,car,clean
-5.9410095,4.6676636,215,test_03365,4,deer,clean
-41.746986,3.114733,216,test_03375,3,cat,clean
-37.88182,-18.207962,217,test_03383,3,cat,clean
-63.04843,3.5684068,218,test_03404,7,monkey,clean
53.690197,-16.282648,219,test_03412,8,ship,clean
-22.912638,-38.226063,220,test_03413,1,bird,clean
3.667889,29.825272,221,test_03418,6,horse,clean
31.324347,-19.00985,222,test_03437,0,airplane,clean
-58.001083,-7.429814,223,test_03446,7,monkey,clean
51.067596,37.446987,224,test_03454,2,car,clean
19.323006,-32.75162,225,test_03455,0,airplane,clean
-17.244827,6.729262,226,test_03458,4,deer,clean
-57.866005,-4.038445,227,test_03467,7,monkey,clean
-23.270912,-33.49797,228,test_03491,1,bird,clean
7.9321632,25.572454,229,test_03494,6,horse,clean
-18.4811,-0.020145288,230,test_03512,4,deer,clean
-10.624501,12.4297,231,test_03515,6,horse,clean
-61.126705,1.1286111,232,test_03542,7,monkey,clean
-16.947433,-19.424541,233,test_03550,1,bird,clean
-45.52305,3.8720496,234,test_03562,3,cat,clean
46.172268,39.096966,235,test_03755,2,car,clean
-13.688255,-2.3881283,236,test_03763,4,deer,clean
0.51700103,25.982391,237,test_03777,6,horse,clean
21.627157,2.0125623,238,test_03778,3,cat,clean
-12.029143,16.377672,239,test_03779,6,horse,clean
4.195159,22.61949,240,test_03844,6,horse,clean
-36.464733,14.424844,241,test_03851,3,cat,clean
-6.037841,44.131706,242,test_03852,5,dog,clean
-0.5314947,34.485138,243,test_03863,5,dog,clean
-63.913166,-1.7549732,244,test_03867,7,monkey,clean
30.35839,-14.727424,245,test_03876,0,airplane,clean
-38.829506,25.730782,246,test_03889,5,dog,clean
-24.916565,-0.49382836,247,test_03891,4,deer,clean
49.510838,14.592386,248,test_03893,9,truck,clean
45.660145,-18.654633,249,test_03905,8,ship,clean
-38.83497,-16.10197,250,test_03914,3,cat,clean
-19.9851,-42.4767,251,test_03937,1,bird,clean
45.902187,6.418979,252,test_03942,9,truck,clean
50.07148,-17.25549,253,test_03948,8,ship,clean
-5.4775057,19.827896,254,test_03962,6,horse,clean
19.930721,-39.209846,255,test_03965,0,airplane,clean
-21.114874,-0.45532164,256,test_03994,4,deer,clean
63.9518,-1.2922415,257,test_03996,9,truck,clean
4.443514,18.173962,258,test_04011,6,horse,clean
-44.172215,1.5811696,259,test_04023,3,cat,clean
-8.808823,-4.8842936,260,test_04054,4,deer,clean
55.893253,31.518757,261,test_04065,2,car,clean
33.277515,-7.5451756,262,test_04069,8,ship,clean
6.1950936,12.0482025,263,test_04093,6,horse,clean
68.02003,10.05362,264,test_04094,9,truck,clean
-27.056602,34.340435,265,test_04106,5,dog,clean
23.699608,-36.307007,266,test_04130,0,airplane,clean
-31.037586,-9.313352,267,test_04168,3,cat,clean
54.107883,-13.008375,268,test_04170,8,ship,clean
-71.750084,12.115139,269,test_04172,7,monkey,clean
58.38832,-24.007376,270,test_04177,8,ship,clean
-37.94271,-27.982552,271,test_04215,3,cat,clean
-42.182583,-9.907266,272,test_04229,3,cat,clean
-74.07205,-8.131209,273,test_04236,7,monkey,clean
62.333668,-20.361801,274,test_04242,8,ship,clean
-5.6933494,16.647194,275,test_04254,6,horse,clean
-33.54948,32.570362,276,test_04290,5,dog,clean
-24.80863,-36.858353,277,test_04298,1,bird,clean
-61.428295,-3.4031262,278,test_04308,7,monkey,clean
52.30838,-26.578068,279,test_04311,8,ship,clean
-35.585613,7.6729894,280,test_04323,3,cat,clean
-33.666634,2.4347255,281,test_04330,3,cat,clean
2.5840182,27.374935,282,test_04341,6,horse,clean
58.735283,-9.263883,283,test_04355,8,ship,clean
20.952108,-27.73279,284,test_04399,0,airplane,clean
-64.76625,2.856519,285,test_04403,7,monkey,clean
9.531971,15.982813,286,test_04411,6,horse,clean
41.861237,6.8979225,287,test_04449,9,truck,clean
-38.16242,-8.183044,288,test_04463,3,cat,clean
-41.69067,-0.13536856,289,test_04531,3,cat,clean
15.249767,-30.961733,290,test_04539,0,airplane,clean
-3.7905831,8.737298,291,test_04547,5,dog,clean
58.33606,-16.385853,292,test_04552,8,ship,clean
-17.708334,33.923473,293,test_04570,5,dog,clean
-39.64638,-10.00268,294,test_04590,3,cat,clean
