projection_x,projection_y,pair_index,image_identifier,class_index,class_name,condition
24.759632,-26.387995,0,test_00003,0,airplane,clean
-67.17833,-1.4746854,1,test_00029,7,monkey,clean
46.655083,22.972733,2,test_00035,2,car,clean
13.888664,-45.826355,3,test_00042,0,airplane,clean
49.19919,22.97834,4,test_00049,2,car,clean
25.34918,-34.806923,5,test_00081,0,airplane,clean
-29.213692,-43.02569,6,test_00095,1,bird,clean
-38.190407,27.018686,7,test_00097,5,dog,clean
-21.043972,-41.328575,8,test_00116,1,bird,clean
54.165825,3.625075,9,test_00131,9,truck,clean
58.711533,-28.195913,10,test_00151,8,ship,clean
-22.924974,4.8696632,11,test_00171,4,deer,clean
-37.70315,-11.682073,12,test_00176,3,cat,clean
54.353344,11.205749,13,test_00191,9,truck,clean
54.925343,-24.278778,14,test_00194,8,ship,clean
-38.41377,-34.531406,15,test_00198,1,bird,clean
54.30552,0.06875,16,test_00239,9,truck,clean
-12.954655,-42.095787,17,test_00261,1,bird,clean
-64.536804,-5.225233,18,test_00269,7,monkey,clean
51.734642,1.5157461,19,test_00276,9,truck,clean
62.123558,10.929229,20,test_00303,9,truck,clean
-35.483185,-43.987217,21,test_00304,1,bird,clean
40.661392,31.976484,22,test_00317,2,car,clean
-26.224314,33.54016,23,test_00319,5,dog,clean
-64.89363,0.8908412,24,test_00323,7,monkey,clean
-29.900936,-6.6866536,25,test_00365,3,cat,clean
-59.900406,-0.7611949,26,test_00370,7,monkey,clean
-39.479332,-3.6857882,27,test_00372,3,cat,clean
-40.74759,25.422592,28,test_00378,5,dog,clean
-39.82234,-6.9728117,29,test_00391,3,cat,clean
52.843357,31.762926,30,test_00409,2,car,clean
54.194,6.9786053,31,test_00419,9,truck,clean
0.45106706,24.893854,32,test_00449,6,horse,clean
37.896084,41.564743,33,test_00470,2,car,clean
38.178226,24.41254,34,test_00483,2,car,clean
35.20947,-20.152447,35,test_00484,0,airplane,clean
-33.483387,8.3697,36,test_00506,4,deer,clean
12.897776,14.748618,37,test_00545,6,horse,clean
22.778568,-30.660578,38,test_00562,0,airplane,clean
-42.812126,25.321064,39,test_00568,5,dog,clean
58.37201,-3.3355076,40,test_00603,9,truck,clean
-40.10448,-10.836938,41,test_00632,3,cat,clean
-19.837753,35.82443,42,test_00645,5,dog,clean
50.48959,-19.809101,43,test_00667,8,ship,clean
-42.230232,-7.735628,44,test_00672,3,cat,clean
-29.381565,-9.669858,45,test_00677,3,cat,clean
-6.3829203,34.739826,46,test_00685,5,dog,clean
-27.092033,14.585112,47,test_00691,4,deer,clean
45.036987,-26.031467,48,test_00706,8,ship,clean
33.244408,18.593382,49,test_00714,2,car,clean
60.814922,-27.895546,50,test_00716,8,ship,clean
0.05235551,-1.7366935,51,test_00738,3,cat,clean
57.193703,-24.690084,52,test_00739,8,ship,clean
-0.66489273,14.31648,53,test_00766,4,deer,clean
-31.647371,-10.809253,54,test_00791,3,cat,clean
47.405895,1.4663863,55,test_00805,9,truck,clean
-15.098269,-39.947247,56,test_00825,1,bird,clean
57.249462,2.1667883,57,test_00852,9,truck,clean
-9.088799,13.503133,58,test_00855,4,deer,clean
-15.619275,22.28749,59,test_00873,6,horse,clean
2.689307,25.72747,60,test_00890,6,horse,clean
-12.148855,23.516937,61,test_00920,6,horse,clean
-4.637605,22.52565,62,test_00929,6,horse,clean
52.435978,-24.595556,63,test_00962,8,ship,clean
5.1465178,15.5917,64,test_00964,6,horse,clean
2.8937879,28.17867,65,test_00977,6,horse,clean
-31.378855,-3.4541175,66,test_00979,3,cat,clean
44.95929,36.228928,67,test_00981,2,car,clean
49.945843,3.5845954,68,test_01022,9,truck,clean
-63.323986,-17.79694,69,test_01032,7,monkey,clean
-58.02515,-0.6733438,70,test_01048,7,monkey,clean
-14.0938,-38.169487,71,test_01090,1,bird,clean
-3.5637047,36.664738,72,test_01095,5,dog,clean
-20.458576,-37.354248,73,test_01109,1,bird,clean
-10.470868,3.2499542,74,test_01111,4,deer,clean
-23.588058,-36.206333,75,test_01115,1,bird,clean
-25.736588,5.458827,76,test_01124,4,deer,clean
47.213936,-32.398834,77,test_01129,8,ship,clean
11.065498,-35.572956,78,test_01175,0,airplane,clean
40.08088,34.420517,79,test_01202,2,car,clean
-43.35249,-11.397269,80,test_01204,3,cat,clean
-14.958873,13.393664,81,test_01211,4,deer,clean
