projection_x,projection_y,pair_index,image_identifier,class_index,class_name,condition
26.495773,-28.134975,0,test_00003,0,airplane,clean
-69.25562,-3.8905337,1,test_00029,7,monkey,clean
48.348072,23.040176,2,test_00035,2,car,clean
11.144874,-47.162205,3,test_00042,0,airplane,clean
51.107788,23.153414,4,test_00049,2,car,clean
29.726639,-40.30931,5,test_00081,0,airplane,clean
-30.1791,-37.116962,6,test_00095,1,bird,clean
-35.607327,24.46737,7,test_00097,5,dog,clean
-22.600231,-35.767464,8,test_00116,1,bird,clean
56.08114,4.8900857,9,test_00131,9,truck,clean
61.918438,-27.768744,10,test_00151,8,ship,clean
-12.274561,-7.2818213,11,test_00171,4,deer,clean
-41.187458,3.3259304,12,test_00176,3,cat,clean
55.720448,12.908381,13,test_00191,9,truck,clean
57.98417,-24.189676,14,test_00194,8,ship,clean
-40.35443,-28.806732,15,test_00198,1,bird,clean
56.79744,1.3819757,16,test_00239,9,truck,clean
-14.17549,-38.863735,17,test_00261,1,bird,clean
-62.96875,1.7176014,18,test_00269,7,monkey,clean
53.91873,2.0025244,19,test_00276,9,truck,clean
64.02544,12.392164,20,test_00303,9,truck,clean
-35.908493,-39.009663,21,test_00304,1,bird,clean
43.524654,31.73545,22,test_00317,2,car,clean
-26.81011,35.03755,23,test_00319,5,dog,clean
-66.75787,-1.8932793,24,test_00323,7,monkey,clean
-39.664875,14.345937,25,test_00365,3,cat,clean
-62.57852,-2.6427805,26,test_00370,7,monkey,clean
-47.75899,9.347523,27,test_00372,3,cat,clean
-38.39018,26.116446,28,test_00378,5,dog,clean
-38.99075,4.4065914,29,test_00391,3,cat,clean
55.221706,31.116165,30,test_00409,2,car,clean
55.922333,8.715151,31,test_00419,9,truck,clean
-0.2018261,22.340591,32,test_00449,6,horse,clean
39.208786,40.870556,33,test_00470,2,car,clean
38.891033,24.148056,34,test_00483,2,car,clean
37.987797,-22.85549,35,test_00484,0,airplane,clean
-23.62741,-1.3795285,36,test_00506,4,deer,clean
15.176611,16.604382,37,test_00545,6,horse,clean
27.127182,-37.02996,38,test_00562,0,airplane,clean
-40.731686,27.17337,39,test_00568,5,dog,clean
60.995865,-0.6110252,40,test_00603,9,truck,clean
-43.191483,1.8715119,41,test_00632,3,cat,clean
-19.988434,25.92747,42,test_00645,5,dog,clean
53.980095,-19.587,43,test_00667,8,ship,clean
-45.089523,4.32784,44,test_00672,3,cat,clean
-37.88936,11.960098,45,test_00677,3,cat,clean
-7.6037455,31.8898,46,test_00685,5,dog,clean
-20.263155,-6.96336,47,test_00691,4,deer,clean
48.262833,-26.351734,48,test_00706,8,ship,clean
34.07833,22.793636,49,test_00714,2,car,clean
64.052086,-27.196564,50,test_00716,8,ship,clean
10.780509,9.449738,51,test_00738,3,cat,clean
60.38477,-24.488201,52,test_00739,8,ship,clean
-1.275099,13.339122,53,test_00766,4,deer,clean
-39.664875,10.385541,54,test_00791,3,cat,clean
49.579082,2.039941,55,test_00805,9,truck,clean
-16.193762,-36.465153,56,test_00825,1,bird,clean
59.27303,3.6046805,57,test_00852,9,truck,clean
-3.7832334,8.273756,58,test_00855,4,deer,clean
-14.549408,12.933275,59,test_00873,6,horse,clean
0.5841569,24.785265,60,test_00890,6,horse,clean
-11.94761,15.892072,61,test_00920,6,horse,clean
-7.007175,22.817911,62,test_00929,6,horse,clean
55.609715,-24.536203,63,test_00962,8,ship,clean
7.021806,15.969578,64,test_00964,6,horse,clean
2.429091,26.534811,65,test_00977,6,horse,clean
-42.5691,16.016016,66,test_00979,3,cat,clean
47.213547,36.90832,67,test_00981,2,car,clean
52.495205,4.3367753,68,test_01022,9,truck,clean
-60.62608,-18.695042,69,test_01032,7,monkey,clean
-60.776005,-3.5295155,70,test_01048,7,monkey,clean
-15.006184,-34.848274,71,test_01090,1,bird,clean
-4.8016458,34.361862,72,test_01095,5,dog,clean
-21.171885,-32.436928,73,test_01109,1,bird,clean
-1.5395344,0.16951475,74,test_01111,4,deer,clean
-28.35552,-25.072647,75,test_01115,1,bird,clean
-15.2040205,-9.482158,76,test_01124,4,deer,clean
49.791172,-32.927387,77,test_01129,8,ship,clean
19.820837,-38.470158,78,test_01175,0,airplane,clean
42.304707,34.15335,79,test_01202,2,car,clean
-42.870945,-1.3028178,80,test_01204,3,cat,clean
-11.84662,3.1281877,81,test_01211,4,deer,clean
-76.59065,1.024088,82,test_01220,7,monkey,clean
-41.286987,-36.587982,83,test_01230,1,bird,clean
65.04086,-22.479412,84,test_01247,8,ship,clean
-33.183987,3.0416226,85,test_01263,3,cat,clean
-21.340448,-4.178729,86,test_01266,4,deer,clean
-77.312485,3.685471,87,test_01287,7,monkey,clean
-57.84597,-10.810139,88,test_01296,7,monkey,clean
-37.747063,15.680784,89,test_01370,3,cat,clean
22.993908,-41.72519,90,test_01389,0,airplane,clean
-44.68925,7.983092,91,test_01401,3,cat,clean
49.03989,30.332949,92,test_01403,2,car,clean
66.037,3.319309,93,test_01411,9,truck,clean
-19.425703,4.4188123,94,test_01429,4,deer,clean
48.199417,-0.91035396,95,test_01430,9,truck,clean
-41.61193,20.770521,96,test_01431,3,cat,clean
-24.013546,-26.310522,97,test_01436,1,bird,clean
-65.1754,-0.50514174,98,test_01440,7,monkey,clean
46.58051,11.46824,99,test_01468,9,truck,clean
-69.44118,-11.254341,100,test_01473,7,monkey,clean
59.31737,9.892013,101,test_01515,9,truck,clean
60.04474,30.95256,102,test_01520,2,car,clean
-26.97241,7.766926,103,test_01531,3,cat,clean
17.30988,24.741522,104,test_01534,6,horse,clean
-13.483107,28.050007,105,test_01552,5,dog,clean
21.565254,-47.616573,106,test_01553,0,airplane,clean
-47.944576,-1.9268347,107,test_01563,3,cat,clean
-33.062553,-19.774158,108,test_01568,1,bird,clean
-75.11353,-4.5610027,109,test_01579,7,monkey,clean
47.02249,32.355854,110,test_01586,2,car,clean
35.567184,-21.497633,111,test_01596,0,airplane,clean
-18.471146,22.885708,112,test_01626,5,dog,clean
45.542263,-33.042103,113,test_01640,8,ship,clean
-21.521877,36.82951,114,test_01644,5,dog,clean
19.646563,-42.07256,115,test_01648,0,airplane,clean
51.840015,13.767578,116,test_01654,9,truck,clean
15.925688,26.00989,117,test_01667,6,horse,clean
-74.39965,7.671215,118,test_01703,7,monkey,clean
-73.68008,-3.167164,119,test_01711,7,monkey,clean
-59.071163,3.2582514,120,test_01771,7,monkey,clean
50.488586,-30.206873,121,test_01783,8,ship,clean
50.461258,21.59631,122,test_01814,2,car,clean
62.07419,-22.406008,123,test_01833,8,ship,clean
66.75014,12.965758,124,test_01836,9,truck,clean
46.13324,34.583424,125,test_01839,2,car,clean
-28.760193,-32.203392,126,test_01852,1,bird,clean
4.0170197,-2.127306,127,test_01871,1,bird,clean
-15.044288,30.239584,128,test_01877,5,dog,clean
-63.270267,-18.287855,129,test_01884,7,monkey,clean
-64.47282,-5.651133,130,test_01927,7,monkey,clean
41.80463,-15.912252,131,test_01954,8,ship,clean
-52.36549,-2.162681,132,test_01956,7,monkey,clean
-22.184238,6.9676294,133,test_01960,4,deer,clean
17.80098,-36.47229,134,test_01977,0,airplane,clean
6.0947905,-6.7549477,135,test_01986,1,bird,clean
-27.543915,-33.696587,136,test_01993,1,bird,clean
