projection_x,projection_y,pair_index,image_identifier,class_index,class_name,condition
-22.515196,7.9939575,0,shape_airplane_texture_cat_000,0,airplane,clean
-23.3247,2.1628647,1,shape_airplane_texture_cat_003,0,airplane,clean
-22.36842,6.8371778,2,shape_airplane_texture_cat_004,0,airplane,clean
-21.037352,8.001419,3,shape_airplane_texture_cat_005,0,airplane,clean
-23.094484,2.150271,4,shape_airplane_texture_cat_006,0,airplane,clean
-21.493408,10.6979065,5,shape_airplane_texture_cat_008,0,airplane,clean
-21.16445,8.965121,6,shape_airplane_texture_cat_009,0,airplane,clean
-21.79512,9.906108,7,shape_airplane_texture_cat_010,0,airplane,clean
-19.785688,10.079413,8,shape_airplane_texture_cat_011,0,airplane,clean
-19.574202,11.455677,9,shape_airplane_texture_cat_012,0,airplane,clean
-22.666485,9.138314,10,shape_airplane_texture_cat_017,0,airplane,clean
-22.969782,7.0269732,11,shape_airplane_texture_cat_018,0,airplane,clean
-20.997356,11.189759,12,shape_airplane_texture_cat_019,0,airplane,clean
-17.003073,10.589737,13,shape_airplane_texture_cat_021,0,airplane,clean
-20.394876,9.251327,14,shape_airplane_texture_cat_022,0,airplane,clean
-22.964117,7.965777,15,shape_airplane_texture_cat_023,0,airplane,clean
-23.729935,7.4731627,16,shape_airplane_texture_cat_024,0,airplane,clean
-19.06131,9.580864,17,shape_airplane_texture_cat_025,0,airplane,clean
-20.264252,9.991656,18,shape_airplane_texture_cat_027,0,airplane,clean
10.329438,13.3638525,19,shape_cat_texture_airplane_000,3,cat,clean
9.090757,13.229271,20,shape_cat_texture_airplane_001,3,cat,clean
5.3145447,9.566792,21,shape_cat_texture_airplane_002,3,cat,clean
8.016072,6.784815,22,shape_cat_texture_airplane_004,3,cat,clean
9.474796,10.764393,23,shape_cat_texture_airplane_005,3,cat,clean
7.6692348,12.897478,24,shape_cat_texture_airplane_006,3,cat,clean
9.05824,16.539011,25,shape_cat_texture_airplane_007,3,cat,clean
6.988708,11.969053,26,shape_cat_texture_airplane_008,3,cat,clean
5.555869,9.829359,27,shape_cat_texture_airplane_009,3,cat,clean
8.57172,13.742736,28,shape_cat_texture_airplane_012,3,cat,clean
7.6034956,7.241246,29,shape_cat_texture_airplane_015,3,cat,clean
9.3433075,12.846351,30,shape_cat_texture_airplane_017,3,cat,clean
8.868246,12.278719,31,shape_cat_texture_airplane_018,3,cat,clean
2.6420252,8.744024,32,shape_cat_texture_airplane_021,3,cat,clean
9.859991,15.960544,33,shape_cat_texture_airplane_023,3,cat,clean
8.937512,16.908722,34,shape_cat_texture_airplane_026,3,cat,clean
8.741895,15.331099,35,shape_cat_texture_airplane_028,3,cat,clean
9.327301,11.011429,36,shape_cat_texture_airplane_029,3,cat,clean
-7.9943724,21.567204,37,shape_bird_texture_car_000,1,bird,clean
-0.745442,14.662573,38,shape_bird_texture_car_001,1,bird,clean
-4.486415,15.068604,39,shape_bird_texture_car_002,1,bird,clean
-4.7969007,16.404081,40,shape_bird_texture_car_003,1,bird,clean
-1.8947201,11.97085,41,shape_bird_texture_car_004,1,bird,clean
-3.9673667,15.9586,42,shape_bird_texture_car_005,1,bird,clean
-1.455764,21.792484,43,shape_bird_texture_car_007,1,bird,clean
4.9698405,13.992709,44,shape_bird_texture_car_008,1,bird,clean
1.677973,26.10443,45,shape_bird_texture_car_009,1,bird,clean
-5.7513614,15.248056,46,shape_bird_texture_car_011,1,bird,clean
-3.2412176,14.844653,47,shape_bird_texture_car_013,1,bird,clean
-8.179471,12.66973,48,shape_bird_texture_car_014,1,bird,clean
-7.695043,20.406116,49,shape_bird_texture_car_019,1,bird,clean
-4.7092185,15.46227,50,shape_bird_texture_car_020,1,bird,clean
-6.681327,13.960048,51,shape_bird_texture_car_023,1,bird,clean
-1.185176,21.510286,52,shape_bird_texture_car_024,1,bird,clean
-1.2110721,21.527761,53,shape_bird_texture_car_025,1,bird,clean
-3.4832416,16.863579,54,shape_bird_texture_car_026,1,bird,clean
5.6947865,13.776074,55,shape_bird_texture_car_027,1,bird,clean
-8.098197,21.911158,56,shape_bird_texture_car_028,1,bird,clean
-8.006851,15.326647,57,shape_bird_texture_car_029,1,bird,clean
-1.6453611,-19.213,58,shape_car_texture_bird_000,2,car,clean
-3.4009116,-19.572197,59,shape_car_texture_bird_001,2,car,clean
7.6489387,-10.845213,60,shape_car_texture_bird_002,2,car,clean
-4.894748,-20.265322,61,shape_car_texture_bird_003,2,car,clean
0.9640644,-17.426544,62,shape_car_texture_bird_004,2,car,clean
-1.1578369,-22.325705,63,shape_car_texture_bird_005,2,car,clean
-0.083643414,-16.730902,64,shape_car_texture_bird_006,2,car,clean
0.76441973,-19.766968,65,shape_car_texture_bird_007,2,car,clean
2.6331992,-13.359965,66,shape_car_texture_bird_008,2,car,clean
-0.559503,-22.25249,67,shape_car_texture_bird_010,2,car,clean
1.7246987,-20.830708,68,shape_car_texture_bird_011,2,car,clean
-0.39572647,-20.385592,69,shape_car_texture_bird_012,2,car,clean
-5.0755982,-21.211838,70,shape_car_texture_bird_013,2,car,clean
-5.2113934,-20.150768,71,shape_car_texture_bird_014,2,car,clean
-2.6729276,-21.115353,72,shape_car_texture_bird_015,2,car,clean
-2.7563949,-23.45424,73,shape_car_texture_bird_016,2,car,clean
-2.7415075,-17.621473,74,shape_car_texture_bird_017,2,car,clean
-1.2623827,-17.997458,75,shape_car_texture_bird_018,2,car,clean
-0.41959614,-18.439196,76,shape_car_texture_bird_019,2,car,clean
-1.7120324,-18.7774,77,shape_car_texture_bird_020,2,car,clean
-4.166913,-21.12694,78,shape_car_texture_bird_021,2,car,clean
