projection_x,projection_y,pair_index,image_identifier,class_index,class_name,condition
5.7716293,40.959244,0,test_00003,0,airplane,clean
-45.039875,10.957975,1,test_00029,7,monkey,clean
36.778614,-33.890057,2,test_00035,2,car,clean
12.079797,41.251152,3,test_00042,0,airplane,clean
34.34116,-35.316624,4,test_00049,2,car,clean
16.878191,29.831133,5,test_00081,0,airplane,clean
-22.251556,32.33281,6,test_00095,1,bird,clean
-21.736742,-7.1016803,7,test_00097,5,dog,clean
-15.632422,31.644287,8,test_00116,1,bird,clean
35.05832,-4.181426,9,test_00131,9,truck,clean
44.245155,16.553736,10,test_00151,8,ship,clean
-21.469439,-26.36067,11,test_00171,4,deer,clean
-44.378613,-8.638726,12,test_00176,3,cat,clean
36.84247,-15.574723,13,test_00191,9,truck,clean
42.994923,18.899633,14,test_00194,8,ship,clean
-14.510472,28.859589,15,test_00198,1,bird,clean
39.957413,-7.423664,16,test_00239,9,truck,clean
-7.5734043,37.357727,17,test_00261,1,bird,clean
-44.110775,12.702213,18,test_00269,7,monkey,clean
39.785206,-3.845634,19,test_00276,9,truck,clean
46.585186,-4.2710404,20,test_00303,9,truck,clean
-26.871016,22.8575,21,test_00304,1,bird,clean
29.549397,-31.631708,22,test_00317,2,car,clean
-18.533522,5.999589,23,test_00319,5,dog,clean
-42.663,15.975341,24,test_00323,7,monkey,clean
-36.850307,-7.557379,25,test_00365,3,cat,clean
-44.012817,13.503787,26,test_00370,7,monkey,clean
-31.809086,-7.0821915,27,test_00372,3,cat,clean
-22.677925,-7.489999,28,test_00378,5,dog,clean
-37.780575,-13.68964,29,test_00391,3,cat,clean
30.547722,-28.094667,30,test_00409,2,car,clean
41.671917,-9.617629,31,test_00419,9,truck,clean
4.737946,-21.232763,32,test_00449,6,horse,clean
29.106398,-26.70022,33,test_00470,2,car,clean
31.450748,-30.834341,34,test_00483,2,car,clean
27.578775,22.33662,35,test_00484,0,airplane,clean
-23.852167,-26.818617,36,test_00506,4,deer,clean
14.966587,-17.575794,37,test_00545,6,horse,clean
11.104452,30.711252,38,test_00562,0,airplane,clean
-23.856754,-7.0878043,39,test_00568,5,dog,clean
