projection_x,projection_y,pair_index,image_identifier,class_index,class_name,condition
-19.794325,-21.452877,0,test_00003,0,airplane,clean
44.232162,2.2864203,1,test_00029,7,monkey,clean
-38.498028,31.477518,2,test_00035,2,car,clean
-15.21491,-30.476543,3,test_00042,0,airplane,clean
-37.701134,29.601795,4,test_00049,2,car,clean
-9.840291,-28.984894,5,test_00081,0,airplane,clean
35.408848,-24.4284,6,test_00095,1,bird,clean
3.5977554,-13.492557,7,test_00097,5,dog,clean
30.773476,-26.30049,8,test_00116,1,bird,clean
-38.632187,9.508714,9,test_00131,9,truck,clean
-50.862114,-18.17542,10,test_00151,8,ship,clean
25.071585,19.320086,11,test_00171,4,deer,clean
26.570332,-8.797313,12,test_00176,3,cat,clean
-41.555393,12.190354,13,test_00191,9,truck,clean
-47.738724,-18.511116,14,test_00194,8,ship,clean
29.677843,-23.273329,15,test_00198,1,bird,clean
-40.846188,10.514939,16,test_00239,9,truck,clean
28.169472,-38.62934,17,test_00261,1,bird,clean
44.328964,4.7435093,18,test_00269,7,monkey,clean
-37.396275,11.992359,19,test_00276,9,truck,clean
-45.933006,11.3376465,20,test_00303,9,truck,clean
42.907692,-15.468382,21,test_00304,1,bird,clean
-35.683113,28.562551,22,test_00317,2,car,clean
0.8540368,-1.0905814,23,test_00319,5,dog,clean
42.480137,7.2954497,24,test_00323,7,monkey,clean
16.935843,-7.814314,25,test_00365,3,cat,clean
43.835587,4.1937094,26,test_00370,7,monkey,clean
14.74672,-13.862079,27,test_00372,3,cat,clean
4.4058065,-13.572122,28,test_00378,5,dog,clean
26.46397,0.7084804,29,test_00391,3,cat,clean
-33.395603,26.213163,30,test_00409,2,car,clean
-39.68578,6.0201693,31,test_00419,9,truck,clean
-0.6976423,31.507092,32,test_00449,6,horse,clean
-31.229229,26.66602,33,test_00470,2,car,clean
-36.413353,26.406843,34,test_00483,2,car,clean
-32.92883,-18.83233,35,test_00484,0,airplane,clean
24.257181,13.471337,36,test_00506,4,deer,clean
-11.401486,29.628828,37,test_00545,6,horse,clean
-22.044907,-29.577808,38,test_00562,0,airplane,clean
4.250647,-12.787165,39,test_00568,5,dog,clean
-49.438885,9.294888,40,test_00603,9,truck,clean
25.554811,-6.678712,41,test_00632,3,cat,clean
8.632037,7.0501127,42,test_00645,5,dog,clean
-44.987267,-21.276295,43,test_00667,8,ship,clean
30.304285,-0.49941084,44,test_00672,3,cat,clean
18.242239,-8.820502,45,test_00677,3,cat,clean
3.83355,8.401115,46,test_00685,5,dog,clean
27.52927,14.28712,47,test_00691,4,deer,clean
-38.819813,-13.738815,48,test_00706,8,ship,clean
-25.325657,18.766434,49,test_00714,2,car,clean
-52.023098,-18.68489,50,test_00716,8,ship,clean
12.10397,-3.21992,51,test_00738,3,cat,clean
-48.953106,-19.215061,52,test_00739,8,ship,clean
-2.6048763,19.648802,53,test_00766,4,deer,clean
19.695095,-9.211909,54,test_00791,3,cat,clean
-33.091984,-0.15037087,55,test_00805,9,truck,clean
27.443708,-35.092323,56,test_00825,1,bird,clean
-48.552094,10.556496,57,test_00852,9,truck,clean
24.874956,20.53533,58,test_00855,4,deer,clean
9.370995,25.52102,59,test_00873,6,horse,clean
4.144831,27.756687,60,test_00890,6,horse,clean
6.7187414,24.962187,61,test_00920,6,horse,clean
0.34331307,23.184889,62,test_00929,6,horse,clean
-46.77226,-17.097277,63,test_00962,8,ship,clean
-10.87972,22.196337,64,test_00964,6,horse,clean
0.4309102,29.97613,65,test_00977,6,horse,clean
19.88353,-12.966345,66,test_00979,3,cat,clean
-40.67679,29.984549,67,test_00981,2,car,clean
-32.32754,5.633604,68,test_01022,9,truck,clean
53.367344,-10.225904,69,test_01032,7,monkey,clean
42.135704,4.6090994,70,test_01048,7,monkey,clean
27.060158,-33.763283,71,test_01090,1,bird,clean
3.3562136,6.4777055,72,test_01095,5,dog,clean
23.548693,-32.527573,73,test_01109,1,bird,clean
19.737326,25.063332,74,test_01111,4,deer,clean
35.85339,-14.398091,75,test_01115,1,bird,clean
28.921791,15.560979,76,test_01124,4,deer,clean
-48.79518,-21.681824,77,test_01129,8,ship,clean
-16.060883,-29.299706,78,test_01175,0,airplane,clean
-30.75749,29.288809,79,test_01202,2,car,clean
27.335075,-5.816513,80,test_01204,3,cat,clean
21.834211,25.81034,81,test_01211,4,deer,clean
55.6767,0.7200483,82,test_01220,7,monkey,clean
49.50877,-15.155354,83,test_01230,1,bird,clean
-53.52462,-18.796803,84,test_01247,8,ship,clean
22.708513,3.8338702,85,test_01263,3,cat,clean
27.381975,17.360498,86,test_01266,4,deer,clean
55.327366,-0.020925807,87,test_01287,7,monkey,clean
52.479256,-0.50213057,88,test_01296,7,monkey,clean
14.560786,-8.280325,89,test_01370,3,cat,clean
-18.449747,-28.774265,90,test_01389,0,airplane,clean
22.318563,-4.6835895,91,test_01401,3,cat,clean
-39.702473,21.214186,92,test_01403,2,car,clean
-47.701527,9.29317,93,test_01411,9,truck,clean
30.325697,25.387892,94,test_01429,4,deer,clean
-39.754536,1.7436143,95,test_01430,9,truck,clean
9.47936,-13.516599,96,test_01431,3,cat,clean
41.436386,-27.813288,97,test_01436,1,bird,clean
43.891838,6.865025,98,test_01440,7,monkey,clean
-44.84519,1.1660002,99,test_01468,9,truck,clean
48.14085,-2.7957106,100,test_01473,7,monkey,clean
-45.808765,10.390444,101,test_01515,9,truck,clean
-35.20686,15.210562,102,test_01520,2,car,clean
25.756817,5.5848246,103,test_01531,3,cat,clean
-14.575289,28.071619,104,test_01534,6,horse,clean
9.769322,12.340206,105,test_01552,5,dog,clean
-16.930183,-24.578232,106,test_01553,0,airplane,clean
34.121075,-3.2548187,107,test_01563,3,cat,clean
24.362343,-19.180294,108,test_01568,1,bird,clean
53.470467,7.6652417,109,test_01579,7,monkey,clean
-41.222076,28.88598,110,test_01586,2,car,clean
-32.054413,-21.258848,111,test_01596,0,airplane,clean
2.9388945,11.384216,112,test_01626,5,dog,clean
-46.985893,-22.305801,113,test_01640,8,ship,clean
-1.911666,2.2173557,114,test_01644,5,dog,clean
-15.482149,-27.51458,115,test_01648,0,airplane,clean
-32.52191,9.888979,116,test_01654,9,truck,clean
-13.144717,28.77808,117,test_01667,6,horse,clean
55.67107,2.1089823,118,test_01703,7,monkey,clean
53.84697,7.6410265,119,test_01711,7,monkey,clean
36.935,11.351226,120,test_01771,7,monkey,clean
-42.127808,-17.66435,121,test_01783,8,ship,clean
-37.650448,30.299421,122,test_01814,2,car,clean
-52.06206,-16.992582,123,test_01833,8,ship,clean
-46.678833,13.036153,124,test_01836,9,truck,clean
-40.009136,29.298412,125,test_01839,2,car,clean
34.02357,-23.58983,126,test_01852,1,bird,clean
17.71026,-24.025995,127,test_01871,1,bird,clean
10.512248,13.250207,128,test_01877,5,dog,clean
51.99921,-9.94331,129,test_01884,7,monkey,clean
44.907047,3.8014889,130,test_01927,7,monkey,clean
-31.770935,-14.230196,131,test_01954,8,ship,clean
36.895737,0.4273621,132,test_01956,7,monkey,clean
13.348991,8.774429,133,test_01960,4,deer,clean
-15.743599,-34.789944,134,test_01977,0,airplane,clean
18.570175,-24.808464,135,test_01986,1,bird,clean
36.421795,-25.163376,136,test_01993,1,bird,clean
-1.1515083,24.894342,137,test_02003,6,horse,clean
-49.887344,11.978482,138,test_02011,9,truck,clean
-29.90965,-28.78849,139,test_02024,0,airplane,clean
29.00049,2.6607547,140,test_02028,3,cat,clean
-46.63469,9.931777,141,test_02062,9,truck,clean
38.273315,-21.781097,142,test_02070,1,bird,clean
-34.1726,31.661818,143,test_02082,2,car,clean
28.303644,-16.667883,144,test_02095,1,bird,clean
-40.364002,-14.164407,145,test_02109,8,ship,clean
-44.40368,1.7600174,146,test_02114,9,truck,clean
26.349808,-13.490749,147,test_02116,1,bird,clean
40.010944,-24.144398,148,test_02157,1,bird,clean
-43.58243,9.31598,149,test_02167,9,truck,clean
31.912638,-27.801247,150,test_02178,1,bird,clean
-42.194027,-21.24862,151,test_02191,8,ship,clean
-43.621624,-14.43966,152,test_02230,8,ship,clean
-27.512974,-18.940598,153,test_02242,0,airplane,clean
11.319646,11.675442,154,test_02265,5,dog,clean
4.0437665,-14.269555,155,test_02268,5,dog,clean
32.661,-0.8211524,156,test_02291,3,cat,clean
6.261908,15.639213,157,test_02334,5,dog,clean
-46.549164,-19.036104,158,test_02340,8,ship,clean
-47.323944,-24.877502,159,test_02342,8,ship,clean
-46.886467,11.833389,160,test_02351,9,truck,clean
17.819004,9.939431,161,test_02391,5,dog,clean
-39.05349,19.57524,162,test_02392,2,car,clean
27.188412,29.806393,163,test_02399,4,deer,clean
-38.23924,-1.937981,164,test_02414,9,truck,clean
7.3081,16.572393,165,test_02427,5,dog,clean
9.493191,3.7614787,166,test_02458,5,dog,clean
46.15849,5.2959433,167,test_02501,7,monkey,clean
-32.046307,25.591694,168,test_02502,2,car,clean
25.578604,-5.6556387,169,test_02536,3,cat,clean
24.347937,-9.621453,170,test_02539,3,cat,clean
-6.858892,19.44063,171,test_02610,6,horse,clean
11.727865,7.168252,172,test_02623,5,dog,clean
-40.041477,6.2067084,173,test_02655,9,truck,clean
54.101765,-1.0645834,174,test_02668,7,monkey,clean
-13.672359,15.8482275,175,test_02676,6,horse,clean
34.019154,-27.098585,176,test_02687,1,bird,clean
36.93516,-22.452393,177,test_02690,1,bird,clean
23.602379,19.316275,178,test_02704,4,deer,clean
-48.23192,-17.41167,179,test_02745,8,ship,clean
43.4733,-0.9037246,180,test_02746,7,monkey,clean
-29.472847,-17.452341,181,test_02750,0,airplane,clean
23.092714,-0.8877926,182,test_02754,3,cat,clean
17.302822,20.348059,183,test_02757,4,deer,clean
2.2443945,-14.247817,184,test_02766,5,dog,clean
15.800287,3.6820543,185,test_02807,5,dog,clean
-36.180965,-14.001043,186,test_02844,8,ship,clean
