projection_x,projection_y,pair_index,image_identifier,class_index,class_name,condition
-48.546295,40.996136,0,test_00003,0,airplane,clean
57.599724,18.407614,1,test_00029,7,monkey,clean
-42.162853,-28.724209,2,test_00035,2,car,clean
-59.789127,37.281532,3,test_00042,0,airplane,clean
-39.831226,-30.059574,4,test_00049,2,car,clean
-63.565804,38.232555,5,test_00081,0,airplane,clean
19.508873,30.838423,6,test_00095,1,bird,clean
10.9814415,-1.6991901,7,test_00097,5,dog,clean
14.835791,28.236464,8,test_00116,1,bird,clean
-33.126472,-3.2269938,9,test_00131,9,truck,clean
-15.770113,42.796635,10,test_00151,8,ship,clean
34.663837,-34.362137,11,test_00171,4,deer,clean
36.065212,1.6281178,12,test_00176,3,cat,clean
-36.284237,-5.669525,13,test_00191,9,truck,clean
-17.277433,39.1272,14,test_00194,8,ship,clean
22.252405,21.23393,15,test_00198,1,bird,clean
-36.68198,-0.8871039,16,test_00239,9,truck,clean
9.79686,39.836494,17,test_00261,1,bird,clean
56.434055,24.106295,18,test_00269,7,monkey,clean
-39.415718,-7.337268,19,test_00276,9,truck,clean
-41.909595,-4.6345863,20,test_00303,9,truck,clean
32.832264,26.53557,21,test_00304,1,bird,clean
-34.71799,-27.872826,22,test_00317,2,car,clean
1.3553983,-7.775433,23,test_00319,5,dog,clean
52.62208,21.187359,24,test_00323,7,monkey,clean
26.701378,-3.7063646,25,test_00365,3,cat,clean
55.222794,22.881018,26,test_00370,7,monkey,clean
24.973341,-9.038449,27,test_00372,3,cat,clean
11.785064,-3.322505,28,test_00378,5,dog,clean
35.05374,-9.38988,29,test_00391,3,cat,clean
-32.94124,-25.796957,30,test_00409,2,car,clean
-41.008904,4.1352887,31,test_00419,9,truck,clean
3.0022066,-50.984344,32,test_00449,6,horse,clean
-28.099163,-25.26877,33,test_00470,2,car,clean
-35.007195,-23.763678,34,test_00483,2,car,clean
-31.93155,32.38847,35,test_00484,0,airplane,clean
28.980175,-28.46437,36,test_00506,4,deer,clean
-10.562,-48.574318,37,test_00545,6,horse,clean
-48.978943,34.51122,38,test_00562,0,airplane,clean
12.81874,-2.1769001,39,test_00568,5,dog,clean
-44.851997,3.8749774,40,test_00603,9,truck,clean
35.59086,-1.1050051,41,test_00632,3,cat,clean
5.649446,-25.856274,42,test_00645,5,dog,clean
-21.760351,38.32113,43,test_00667,8,ship,clean
41.77736,-5.999601,44,test_00672,3,cat,clean
28.51251,-3.1112492,45,test_00677,3,cat,clean
2.72729,-24.376518,46,test_00685,5,dog,clean
35.31427,-28.786303,47,test_00691,4,deer,clean
-16.112492,30.088217,48,test_00706,8,ship,clean
-26.81866,-18.612228,49,test_00714,2,car,clean
-14.446384,44.012363,50,test_00716,8,ship,clean
21.077745,-8.104628,51,test_00738,3,cat,clean
-14.952145,40.02594,52,test_00739,8,ship,clean
2.7843046,-37.827744,53,test_00766,4,deer,clean
30.010918,-2.299348,54,test_00791,3,cat,clean
-37.29256,6.356128,55,test_00805,9,truck,clean
10.288428,36.120823,56,test_00825,1,bird,clean
-46.887062,-2.2142107,57,test_00852,9,truck,clean
38.511223,-37.337803,58,test_00855,4,deer,clean
6.0597982,-44.632732,59,test_00873,6,horse,clean
10.499819,-48.79693,60,test_00890,6,horse,clean
11.725301,-42.303425,61,test_00920,6,horse,clean
7.166828,-38.3559,62,test_00929,6,horse,clean
-20.411486,42.482864,63,test_00962,8,ship,clean
-6.1600485,-39.71391,64,test_00964,6,horse,clean
5.1482444,-50.0539,65,test_00977,6,horse,clean
26.463211,2.1819944,66,test_00979,3,cat,clean
-37.285145,-34.995182,67,test_00981,2,car,clean
-30.070875,-12.27072,68,test_01022,9,truck,clean
45.155056,35.09582,69,test_01032,7,monkey,clean
58.57498,21.858788,70,test_01048,7,monkey,clean
9.9549465,34.03527,71,test_01090,1,bird,clean
0.7184365,-23.547283,72,test_01095,5,dog,clean
6.543344,31.40535,73,test_01109,1,bird,clean
21.463041,-39.7392,74,test_01111,4,deer,clean
29.277212,22.872845,75,test_01115,1,bird,clean
32.335,-28.530138,76,test_01124,4,deer,clean
-13.997428,35.08047,77,test_01129,8,ship,clean
-57.529697,36.487263,78,test_01175,0,airplane,clean
-29.332203,-29.424671,79,test_01202,2,car,clean
38.398678,-0.1684975,80,test_01204,3,cat,clean
29.61984,-40.457928,81,test_01211,4,deer,clean
40.176586,18.455566,82,test_01220,7,monkey,clean
