projection_x,projection_y,pair_index,image_identifier,class_index,class_name,condition
-47.37858,40.52175,0,test_00003,0,airplane,clean
51.201588,15.699614,1,test_00029,7,monkey,clean
-45.179306,-31.95523,2,test_00035,2,car,clean
-58.828846,36.453632,3,test_00042,0,airplane,clean
-40.27058,-31.554192,4,test_00049,2,car,clean
-62.23084,39.155563,5,test_00081,0,airplane,clean
21.614393,26.042837,6,test_00095,1,bird,clean
11.713252,-5.8073325,7,test_00097,5,dog,clean
13.490403,26.371597,8,test_00116,1,bird,clean
-34.435238,-1.6986444,9,test_00131,9,truck,clean
-18.723995,44.52296,10,test_00151,8,ship,clean
34.583176,-36.333282,11,test_00171,4,deer,clean
34.58111,0.47579512,12,test_00176,3,cat,clean
-37.60494,-8.368311,13,test_00191,9,truck,clean
-17.887949,40.010555,14,test_00194,8,ship,clean
22.548277,20.370628,15,test_00198,1,bird,clean
-37.02628,0.51048875,16,test_00239,9,truck,clean
10.15739,38.52467,17,test_00261,1,bird,clean
54.424618,20.89975,18,test_00269,7,monkey,clean
-41.264164,-7.131902,19,test_00276,9,truck,clean
-43.02772,-3.5648997,20,test_00303,9,truck,clean
30.965763,19.86622,21,test_00304,1,bird,clean
-37.77292,-29.810307,22,test_00317,2,car,clean
2.2144964,-5.5894213,23,test_00319,5,dog,clean
50.50814,18.738888,24,test_00323,7,monkey,clean
27.838907,-4.2676888,25,test_00365,3,cat,clean
53.914387,19.580345,26,test_00370,7,monkey,clean
26.547901,-9.856758,27,test_00372,3,cat,clean
13.230223,-6.3226624,28,test_00378,5,dog,clean
35.98164,-9.463497,29,test_00391,3,cat,clean
-35.919796,-27.100163,30,test_00409,2,car,clean
-39.488564,-4.615688,31,test_00419,9,truck,clean
1.6418864,-49.640316,32,test_00449,6,horse,clean
-31.190407,-26.543219,33,test_00470,2,car,clean
-37.422115,-23.249893,34,test_00483,2,car,clean
-29.733591,30.642185,35,test_00484,0,airplane,clean
34.827927,-30.987415,36,test_00506,4,deer,clean
-13.48159,-48.581264,37,test_00545,6,horse,clean
-47.58465,33.024216,38,test_00562,0,airplane,clean
14.542098,-5.045956,39,test_00568,5,dog,clean
-42.69909,4.5391846,40,test_00603,9,truck,clean
36.43366,-1.3719262,41,test_00632,3,cat,clean
3.9335032,-25.148848,42,test_00645,5,dog,clean
-14.78218,36.555805,43,test_00667,8,ship,clean
42.167873,-3.1619823,44,test_00672,3,cat,clean
29.464725,-3.4237993,45,test_00677,3,cat,clean
0.81787103,-23.053827,46,test_00685,5,dog,clean
28.60891,-29.999716,47,test_00691,4,deer,clean
-18.49063,29.472107,48,test_00706,8,ship,clean
