projection_x,projection_y,pair_index,image_identifier,class_index,class_name,condition
-46.58451,38.426117,0,test_00003,0,airplane,clean
55.88976,11.719083,1,test_00029,7,monkey,clean
-41.795837,-30.72385,2,test_00035,2,car,clean
-58.70402,38.722374,3,test_00042,0,airplane,clean
-38.815,-29.403467,4,test_00049,2,car,clean
-56.064938,24.761898,5,test_00081,0,airplane,clean
20.91298,32.09848,6,test_00095,1,bird,clean
11.971341,-1.3596536,7,test_00097,5,dog,clean
14.436428,28.860924,8,test_00116,1,bird,clean
-32.850132,-1.1280615,9,test_00131,9,truck,clean
-19.422773,42.48819,10,test_00151,8,ship,clean
31.381601,-34.56956,11,test_00171,4,deer,clean
37.683327,0.68066645,12,test_00176,3,cat,clean
-37.684334,-4.0630264,13,test_00191,9,truck,clean
-18.474106,38.47893,14,test_00194,8,ship,clean
23.079044,24.222952,15,test_00198,1,bird,clean
-38.71178,2.527434,16,test_00239,9,truck,clean
10.475217,40.99322,17,test_00261,1,bird,clean
54.071316,17.469868,18,test_00269,7,monkey,clean
-38.642574,-7.13753,19,test_00276,9,truck,clean
-43.373055,-2.4565282,20,test_00303,9,truck,clean
32.234882,24.032352,21,test_00304,1,bird,clean
-34.62192,-27.611813,22,test_00317,2,car,clean
3.613369,-6.4870105,23,test_00319,5,dog,clean
55.667786,19.406471,24,test_00323,7,monkey,clean
27.720957,-4.6291847,25,test_00365,3,cat,clean
53.08486,16.294636,26,test_00370,7,monkey,clean
27.071907,-11.884822,27,test_00372,3,cat,clean
13.508101,-1.3197248,28,test_00378,5,dog,clean
35.598343,-11.444102,29,test_00391,3,cat,clean
-34.274834,-24.336222,30,test_00409,2,car,clean
-37.506004,-0.6489399,31,test_00419,9,truck,clean
1.4863102,-48.782974,32,test_00449,6,horse,clean
-29.60674,-22.887262,33,test_00470,2,car,clean
-35.512566,-21.67114,34,test_00483,2,car,clean
-29.806164,30.033485,35,test_00484,0,airplane,clean
30.92352,-31.874744,36,test_00506,4,deer,clean
-11.205293,-47.348686,37,test_00545,6,horse,clean
-49.102943,31.19741,38,test_00562,0,airplane,clean
14.636811,-0.12696323,39,test_00568,5,dog,clean
-41.649513,-5.3665204,40,test_00603,9,truck,clean
36.769997,-3.1280904,41,test_00632,3,cat,clean
6.0305243,-21.93284,42,test_00645,5,dog,clean
-14.082092,34.504795,43,test_00667,8,ship,clean
44.21204,-8.112552,44,test_00672,3,cat,clean
29.557209,-4.6017904,45,test_00677,3,cat,clean
3.3860347,-24.669184,46,test_00685,5,dog,clean
36.24707,-39.29145,47,test_00691,4,deer,clean
-20.415579,27.967215,48,test_00706,8,ship,clean
-28.205173,-17.68532,49,test_00714,2,car,clean
