projection_x,projection_y,pair_index,image_identifier,class_index,class_name,condition
-48.43558,35.67754,0,test_00003,0,airplane,clean
55.911835,18.614096,1,test_00029,7,monkey,clean
-44.385567,-28.586365,2,test_00035,2,car,clean
-61.11318,35.674076,3,test_00042,0,airplane,clean
-41.93511,-31.499596,4,test_00049,2,car,clean
-56.845432,21.913649,5,test_00081,0,airplane,clean
19.859854,28.800335,6,test_00095,1,bird,clean
10.683288,-2.4292169,7,test_00097,5,dog,clean
11.285932,29.100082,8,test_00116,1,bird,clean
-34.485767,-3.9350278,9,test_00131,9,truck,clean
-21.993296,40.26569,10,test_00151,8,ship,clean
34.89753,-34.52467,11,test_00171,4,deer,clean
36.19769,4.1799097,12,test_00176,3,cat,clean
-39.277298,-11.360791,13,test_00191,9,truck,clean
-21.413643,36.005463,14,test_00194,8,ship,clean
23.154556,27.407068,15,test_00198,1,bird,clean
-38.4369,-1.7249675,16,test_00239,9,truck,clean
6.3141217,40.420383,17,test_00261,1,bird,clean
54.84604,20.947989,18,test_00269,7,monkey,clean
-42.00274,-8.762961,19,test_00276,9,truck,clean
-44.075577,-4.9012094,20,test_00303,9,truck,clean
29.019117,24.336552,21,test_00304,1,bird,clean
-35.514267,-30.022865,22,test_00317,2,car,clean
0.7282176,-9.882863,23,test_00319,5,dog,clean
54.92306,24.701002,24,test_00323,7,monkey,clean
27.440716,-1.4351571,25,test_00365,3,cat,clean
51.875546,22.001276,26,test_00370,7,monkey,clean
23.740852,-5.514428,27,test_00372,3,cat,clean
12.120739,-2.35636,28,test_00378,5,dog,clean
35.656307,-8.062065,29,test_00391,3,cat,clean
-36.33214,-26.239586,30,test_00409,2,car,clean
-39.069,-7.423142,31,test_00419,9,truck,clean
3.16765,-49.51901,32,test_00449,6,horse,clean
-33.28729,-27.053675,33,test_00470,2,car,clean
-37.368645,-28.653246,34,test_00483,2,car,clean
-31.248686,27.527233,35,test_00484,0,airplane,clean
35.64076,-29.223589,36,test_00506,4,deer,clean
-9.380344,-47.40222,37,test_00545,6,horse,clean
-53.19091,28.704878,38,test_00562,0,airplane,clean
13.253494,-1.2417605,39,test_00568,5,dog,clean
-45.291416,2.4753783,40,test_00603,9,truck,clean
35.88628,0.63954514,41,test_00632,3,cat,clean
5.683224,-26.870476,42,test_00645,5,dog,clean
-16.662468,32.87509,43,test_00667,8,ship,clean
42.31159,-2.0643692,44,test_00672,3,cat,clean
29.026705,-2.1515105,45,test_00677,3,cat,clean
3.8313346,-23.391289,46,test_00685,5,dog,clean
28.744596,-28.972475,47,test_00691,4,deer,clean
-19.142723,25.789007,48,test_00706,8,ship,clean
-28.517315,-20.587328,49,test_00714,2,car,clean
-21.719168,42.01832,50,test_00716,8,ship,clean
24.317432,-9.15606,51,test_00738,3,cat,clean
-18.892824,39.41504,52,test_00739,8,ship,clean
5.199581,-40.52276,53,test_00766,4,deer,clean
30.491215,-1.2223012,54,test_00791,3,cat,clean
-34.046783,3.3564425,55,test_00805,9,truck,clean
6.995365,36.508244,56,test_00825,1,bird,clean
