epoch,train_loss,train_accuracy,validation_loss,validation_accuracy
1,2.0040213356018066,0.97075,2.0053057708740236,0.978
2,1.737858901977539,0.975,1.7404809265136718,0.984
3,1.5018880653381348,0.97675,1.5054959716796874,0.985
4,1.295803879737854,0.97775,1.3002928848266602,0.986
5,1.118823504447937,0.97775,1.123741081237793,0.987
6,0.9688196940422058,0.9795,0.9739213905334473,0.986
7,0.8427931652069092,0.9795,0.8478634300231933,0.986
8,0.7377773013114929,0.97975,0.7426465682983399,0.985
9,0.6501789102554322,0.9795,0.6546926078796387,0.986
10,0.577115089893341,0.97975,0.5811586093902588,0.986
