epoch,train_loss,train_accuracy,validation_loss,validation_accuracy
1,0.4527480442523956,0.9745,0.4881228618621826,0.958
2,0.208521301984787,0.98375,0.2480983476638794,0.969
3,0.1334261189699173,0.98775,0.17530733251571656,0.972
4,0.09717559611797333,0.9895,0.1428911943435669,0.971
5,0.0748192744255066,0.99275,0.12432387948036194,0.972
6,0.060284413754940036,0.99475,0.1112588028907776,0.973
7,0.05001249760389328,0.99575,0.10496219277381896,0.974
8,0.04211241909861565,0.99675,0.0977889358997345,0.974
9,0.036149249717593195,0.99775,0.09430141127109527,0.973
10,0.031423418372869494,0.99775,0.09063234090805054,0.972
11,0.027580987110733986,0.9985,0.08777057194709778,0.974
12,0.02447186170518398,0.9985,0.08591496109962464,0.973
