epoch,train_loss,train_accuracy,validation_loss,validation_accuracy
1,0.18203069627285004,0.97675,0.207274076461792,0.973
2,0.09809099107980729,0.9855,0.13092897510528564,0.975
3,0.0661658638715744,0.992,0.10485766363143921,0.976
4,0.04882220053672791,0.99325,0.0938387529850006,0.976
5,0.03727540758252144,0.99625,0.08625646376609802,0.976
6,0.02944295732676983,0.99825,0.08128400111198425,0.978
7,0.02387466225028038,0.999,0.07855021333694458,0.978
8,0.019935689121484756,0.9995,0.07704471004009247,0.979
9,0.016888781480491163,0.99975,0.07489247834682465,0.98
10,0.01457281231880188,0.99975,0.07430675876140594,0.978
11,0.01264140260964632,1.0,0.07298264372348785,0.979
12,0.01113730263710022,1.0,0.07233487313985824,0.98
13,0.009825127072632313,1.0,0.0720121585726738,0.978
14,0.008810798726975919,1.0,0.07117173701524734,0.978
