model,condition,accuracy,macro_f1,mean_max_confidence,accuracy_change,prediction_consistency,macro_f1_change,mean_max_confidence_change
ResNet-50 + linear head,clean,0.978,0.9780357293461304,0.9438722559914621,0.0,1.0,,
ResNet-50 + linear head,grayscale,0.958,0.9578372320654299,0.9396197526137069,-0.020000000000000018,0.966,-0.020198497280700445,-0.004252503377755179
ResNet-50 + linear head,hue_rotation,0.938,0.9377866343384367,0.9223821946697061,-0.040000000000000036,0.944,-0.04024909500769369,-0.021490061321756015
ResNet-50 + linear head,patch_shuffle,0.906,0.9064313857337558,0.8970040914728463,-0.07199999999999995,0.922,-0.07160434361237455,-0.04686816451861575
ViT-B/16 + linear head,clean,0.974,0.9739159548607923,0.9659505040218196,0.0,1.0,,
ViT-B/16 + linear head,grayscale,0.956,0.9559053905399058,0.9612891910743682,-0.018000000000000016,0.956,-0.018010564320886546,-0.004661312947451424
ViT-B/16 + linear head,hue_rotation,0.944,0.9439768035444558,0.9368215377317063,-0.030000000000000027,0.946,-0.02993915131633651,-0.0291289662901133
ViT-B/16 + linear head,patch_shuffle,0.892,0.8924260029731925,0.8980357518611511,-0.08199999999999996,0.908,-0.08148995188759978,-0.06791475216066845
CLIP + linear head,clean,0.982,0.9819754552035352,0.3343698969775253,0.0,1.0,,
CLIP + linear head,grayscale,0.954,0.9536050737255962,0.30741660279038535,-0.028000000000000025,0.958,-0.028370381477939022,-0.02695329418713993
CLIP + linear head,hue_rotation,0.938,0.9377005378799467,0.29183309485582115,-0.04400000000000004,0.94,-0.04427491732358857,-0.04253680212170413
CLIP + linear head,patch_shuffle,0.806,0.8054297624667452,0.21529541063182228,-0.17599999999999993,0.806,-0.17654569273679,-0.119074486345703
CLIP zero-shot,clean,0.968,0.967524079946368,0.942698338927212,0.0,1.0,,
CLIP zero-shot,grayscale,0.942,0.9411182150582782,0.927429197991511,-0.026000000000000023,0.952,-0.026405864888089825,-0.015269140935700976
CLIP zero-shot,hue_rotation,0.928,0.9263713096164601,0.9193580104295447,-0.039999999999999925,0.934,-0.04115277032990794,-0.023340328497667318
CLIP zero-shot,patch_shuffle,0.794,0.7921283614321453,0.7736518659441701,-0.17399999999999993,0.796,-0.17539571851422275,-0.16904647298304187
