model,displacement,accuracy,macro_f1,mean_max_confidence,accuracy_change,macro_f1_change,mean_max_confidence_change,prediction_consistency
ResNet-50 + linear head,0,0.978,0.9780357293461304,0.9438722559914621,0.0,0.0,0.0,1.0
ResNet-50 + linear head,8,0.9764999999999999,0.9765505824106254,0.9429862158419842,-0.0015000000000000013,-0.0014851469355050273,-0.0008860401494778514,0.9944999999999999
ResNet-50 + linear head,16,0.9709999999999999,0.9710652306941812,0.9399589869533616,-0.007000000000000006,-0.0069704986519492085,-0.0039132690381004365,0.9915
ResNet-50 + linear head,32,0.9675,0.9676427324894489,0.9348794847367466,-0.01050000000000001,-0.010392996856681519,-0.008992771254715398,0.987
ViT-B/16 + linear head,0,0.974,0.9739159548607923,0.9659505040218196,0.0,0.0,0.0,1.0
ViT-B/16 + linear head,8,0.977,0.9769829505144214,0.9651829316030305,0.0030000000000000027,0.003066995653629029,-0.0007675724187891086,0.984
ViT-B/16 + linear head,16,0.9735,0.973429864955283,0.9643989057551499,-0.0005000000000000004,-0.00048608990550935705,-0.0015515982666697292,0.9895
ViT-B/16 + linear head,32,0.9644999999999999,0.9645304670313195,0.959251763862506,-0.009500000000000008,-0.009385487829472794,-0.006698740159313599,0.9735
CLIP + linear head,0,0.982,0.9819754552035352,0.3343698969775253,0.0,0.0,0.0,1.0
CLIP + linear head,8,0.9804999999999999,0.9804742885178688,0.33173866254297163,-0.0015000000000000013,-0.0015011666856664663,-0.002631234434553653,0.9855
CLIP + linear head,16,0.9774999999999999,0.9773855970712663,0.3245226527177031,-0.004500000000000004,-0.0045898581322688925,-0.009847244259822183,0.9809999999999999
CLIP + linear head,32,0.974,0.9739226116195716,0.31637701618013186,-0.008000000000000007,-0.008052843583963576,-0.017992880797393404,0.979
CLIP zero-shot,0,0.968,0.967524079946368,0.942698338927212,0.0,0.0,0.0,1.0
CLIP zero-shot,8,0.9690000000000001,0.9685468894139073,0.9417083576798958,0.0010000000000000009,0.0010228094675394095,-0.0009899812473162517,0.9810000000000001
CLIP zero-shot,16,0.9724999999999999,0.9722217363695254,0.9384728315342569,0.004500000000000004,0.004697656423157309,-0.004225507392955075,0.9794999999999999
CLIP zero-shot,32,0.956,0.9554846653216484,0.92750645050282,-0.01200000000000001,-0.012039414624719635,-0.015191888424391953,0.973
