epoch,total_loss,classification_loss,mmd_loss,sam_perturbed_loss,gradient_norm,photo_validation_accuracy,photo_validation_macro_f1,art_painting_validation_accuracy,art_painting_validation_macro_f1,cartoon_validation_accuracy,cartoon_validation_macro_f1,mean_source_validation_accuracy,mean_source_validation_macro_f1,worst_source_validation_accuracy,worst_source_validation_macro_f1
1,0.6133893541199096,0.5191685174056824,0.0,0.6133893541199096,8.62704314779728,0.9610778443113772,0.954147856614035,0.8634146341463415,0.8554450461773581,0.8997867803837953,0.9034723090845961,0.9080930862805046,0.9043550706253297,0.8634146341463415,0.8554450461773581
2,0.27686098108583307,0.20326025301313147,0.0,0.27686098108583307,6.56043106013156,0.9610778443113772,0.9575986111962712,0.8707317073170732,0.871269389726726,0.8997867803837953,0.9083371350076271,0.9105321106707486,0.9124017119768748,0.8707317073170732,0.871269389726726
3,0.20267853960791166,0.14057502895197335,0.0,0.20267853960791166,5.409769649835343,0.9610778443113772,0.953124739782896,0.8512195121951219,0.8511908346568902,0.9125799573560768,0.9174847379549927,0.9082924379541919,0.9072667707982597,0.8512195121951219,0.8511908346568902
4,0.14398256922140718,0.09002248224445639,0.0,0.14398256922140718,4.523879325706908,0.9550898203592815,0.9464405579460659,0.8780487804878049,0.8739308285465012,0.9339019189765458,0.938047607656929,0.9223468399412106,0.919472998049832,0.8780487804878049,0.8739308285465012
5,0.1179644398985708,0.0688404572255751,0.0,0.1179644398985708,3.982827195969034,0.9610778443113772,0.9531291338894478,0.9073170731707317,0.9024471140413206,0.9445628997867804,0.9511251530276498,0.9376526057562965,0.9355671336528061,0.9073170731707317,0.9024471140413206
6,0.11601556811142376,0.06596568423636665,0.0,0.11601556811142376,3.9655388402257192,0.9820359281437125,0.9818156591100189,0.9146341463414634,0.9135868826367062,0.9402985074626866,0.9454220345654257,0.945656193982621,0.9469415254373836,0.9146341463414634,0.9135868826367062
7,0.08208152263058706,0.042178405669983474,0.0,0.08208152263058706,3.0583261395071415,0.9610778443113772,0.9568852307856044,0.9,0.9006272006407237,0.9317697228144989,0.937736667908507,0.9309491890419587,0.9317496997782784,0.9,0.9006272006407237
8,0.0797218863537753,0.042430944421187416,0.0,0.0797218863537753,2.831037870382375,0.9730538922155688,0.968589410162758,0.9073170731707317,0.9059017075626807,0.9594882729211087,0.9600757607554523,0.9466197461024697,0.944855626160297,0.9073170731707317,0.9059017075626807
9,0.06862530805928474,0.03435843753110756,0.0,0.06862530805928474,2.5547820083559194,0.9760479041916168,0.9713047188087728,0.9097560975609756,0.9047243088632924,0.9488272921108742,0.9553582016613733,0.9448770979544889,0.9437957431111461,0.9097560975609756,0.9047243088632924
10,0.06345783495839606,0.030649208857094563,0.0,0.06345783495839606,2.386663074771616,0.9670658682634731,0.9613749919138991,0.8853658536585366,0.8881144305723266,0.9424307036247335,0.9450536304950915,0.9316208085155809,0.9315143509937723,0.8853658536585366,0.8881144305723266
11,0.05096942461801673,0.02312493342547083,0.0,0.05096942461801673,1.9082276389993569,0.9700598802395209,0.9662127149167237,0.9048780487804878,0.9052573756490452,0.9381663113006397,0.9428133789601609,0.9377014134402161,0.9380944898419766,0.9048780487804878,0.9052573756490452
