epoch,learning_rate,total_loss,classification_loss,training_accuracy,validation_accuracy,validation_macro_f1
1,0.1,2.036669009091847,2.036669009091847,0.25892539173789175,0.4002,0.38141746697328766
2,0.09997532801828658,1.5456775647622567,1.5456775647622567,0.4346287393162393,0.5008,0.4912951890243796
3,0.09990133642141358,1.2121044183388734,1.2121044183388734,0.5682870370370371,0.6684,0.6649826073379099
4,0.099778098230154,1.0126972548302762,1.0126972548302762,0.6419382122507122,0.7252,0.72209663334604
5,0.0996057350657239,0.8595414924146103,0.8595414924146103,0.7012998575498576,0.6902,0.6926611155209729
6,0.09938441702975688,0.781067222611517,0.781067222611517,0.73005698005698,0.7682,0.7687889594185279
7,0.09911436253643444,0.7126451335061988,0.7126451335061988,0.7515135327635327,0.734,0.7400813617539805
8,0.09879583809693737,0.6887559003469951,0.6887559003469951,0.7627759971509972,0.7344,0.7293021351811273
9,0.09842915805643156,0.6506352372828372,0.6506352372828372,0.7746171652421653,0.7794,0.7771426398013496
10,0.09801468428384716,0.6363969084374246,0.6363969084374246,0.7798254985754985,0.7944,0.785419566787445
11,0.09755282581475769,0.6096616985111835,0.6096616985111835,0.7906205484330484,0.8164,0.8124764643413462
12,0.09704403844771128,0.596661079728026,0.596661079728026,0.7945601851851852,0.7924,0.7913815734182497
13,0.09648882429441258,0.5894976022236708,0.5894976022236708,0.7979433760683761,0.8178,0.8189957027943185
14,0.09588773128419906,0.5776966760131369,0.5776966760131369,0.8033297720797721,0.7974,0.7993905724448591
15,0.09524135262330098,0.5603434080921347,0.5603434080921347,0.8100516381766382,0.789,0.793741327078533
16,0.0945503262094184,0.5545238222491707,0.5545238222491707,0.8095842236467237,0.8114,0.8071286510338535
17,0.09381533400219319,0.5463020253894676,0.5463020253894676,0.8129006410256411,0.8444,0.8414793161267303
18,0.0930371013501972,0.5296842780208316,0.5296842780208316,0.8174857549857549,0.8252,0.8286367934490573
19,0.09221639627510078,0.5232815955608998,0.5232815955608998,0.8205350783475783,0.821,0.8210456441957732
20,0.09135402871372812,0.5162149099712698,0.5162149099712698,0.8234063390313391,0.846,0.8467499766035846
21,0.09045084971874741,0.5121801920086569,0.5121801920086569,0.8254540598290598,0.823,0.8233429715118519
22,0.08950775061878455,0.5000331296540393,0.5000331296540393,0.8301727207977208,0.8222,0.8232797661201403
23,0.08852566213878948,0.4969850894902167,0.4969850894902167,0.8299724002849003,0.8112,0.8122279372881966
24,0.087505553481523,0.4897257021689347,0.4897257021689347,0.8322426994301995,0.8084,0.8008297821008084
25,0.0864484313710706,0.4819779212658222,0.4819779212658222,0.8333333333333334,0.8096,0.8079404789897187
26,0.08535533905932739,0.4786495624104796,0.4786495624104796,0.8356036324786325,0.7972,0.8001826266350122
27,0.08422735529643445,0.4733902345865201,0.4733902345865201,0.8376513532763533,0.8466,0.8447209185896944
28,0.08306559326618261,0.4565336317927749,0.4565336317927749,0.8447738603988604,0.802,0.8035356427156588
