epoch,learning_rate,total_loss,classification_loss,training_accuracy,validation_accuracy,validation_macro_f1
1,0.1,1.9839530059075423,1.9839530059075423,0.2926460113960114,0.407,0.3859149138375816
2,0.09997532801828658,1.488649260624182,1.488649260624182,0.4525685541310541,0.4704,0.44628837654426495
3,0.09990133642141358,1.1898674767920774,1.1898674767920774,0.5733840811965812,0.593,0.581321394877496
4,0.099778098230154,0.9595318964743547,0.9595318964743547,0.6588541666666666,0.6874,0.6860733694803471
5,0.0996057350657239,0.7945533734441144,0.7945533734441144,0.7207977207977208,0.7046,0.7043620038457105
6,0.09938441702975688,0.6717437752801129,0.6717437752801129,0.7662482193732194,0.7414,0.7429001248906397
7,0.09911436253643444,0.6070961148990186,0.6070961148990186,0.7900641025641025,0.7658,0.7662491140781672
8,0.09879583809693737,0.5665395781185553,0.5665395781185553,0.8037971866096866,0.7244,0.7209749646594602
9,0.09842915805643156,0.5275617199405985,0.5275617199405985,0.8173076923076923,0.7414,0.7365550113440748
10,0.09801468428384716,0.5079211443238109,0.5079211443238109,0.8250756766381766,0.7994,0.7957978114532489
11,0.09755282581475769,0.48498772292734893,0.48498772292734893,0.8326210826210826,0.8012,0.7995013888476715
12,0.09704403844771128,0.47163380347086153,0.47163380347086153,0.8384748931623932,0.7632,0.7650003020416781
13,0.09648882429441258,0.45407088801392126,0.45407088801392126,0.8438612891737892,0.7782,0.7780233070836765
14,0.09588773128419906,0.439344409736473,0.439344409736473,0.8509170227920227,0.773,0.7801074299704259
15,0.09524135262330098,0.4318595185154184,0.4318595185154184,0.8516070156695157,0.8326,0.8303006875820994
16,0.0945503262094184,0.4242097735404968,0.4242097735404968,0.8549679487179487,0.8126,0.814602047630706
17,0.09381533400219319,0.40715631065715074,0.40715631065715074,0.8605991809116809,0.8246,0.8188227236409598
18,0.0930371013501972,0.3976931891634933,0.3976931891634933,0.8629807692307693,0.7826,0.7883019639630745
19,0.09221639627510078,0.38757624466534696,0.38757624466534696,0.8669426638176638,0.8274,0.8273653920204038
20,0.09135402871372812,0.3833472585661119,0.3833472585661119,0.8695023148148148,0.8394,0.8413485476906487
21,0.09045084971874741,0.37776809705798103,0.37776809705798103,0.8708377849002849,0.825,0.8244246827738124
22,0.08950775061878455,0.365111425561443,0.365111425561443,0.875,0.8312,0.8328440594219367
23,0.08852566213878948,0.3588310123508812,0.3588310123508812,0.8774483618233618,0.8114,0.8092977579248763
24,0.087505553481523,0.35469635548415007,0.35469635548415007,0.8788060897435898,0.7836,0.7817873328742944
25,0.0864484313710706,0.3447529099605702,0.3447529099605702,0.8818331552706553,0.847,0.8460240627132091
26,0.08535533905932739,0.3386285237946741,0.3386285237946741,0.8839699074074074,0.8108,0.8132683976795789
27,0.08422735529643445,0.33237165314519507,0.33237165314519507,0.8858618233618234,0.8392,0.8382413606531596
28,0.08306559326618261,0.3257213886986431,0.3257213886986431,0.8884437321937322,0.8638,0.8641064729053929
29,0.0818711994874345,0.3272069422607748,0.3272069422607748,0.8868856837606838,0.774,0.7772743971192707
30,0.08064535268264884,0.3181696238256248,0.3181696238256248,0.8920717592592593,0.8598,0.861129054412752
31,0.07938926261462369,0.3153206490383529,0.3153206490383529,0.8913372507122507,0.8638,0.8645179581528595
32,0.07810416889260656,0.307228642693612,0.307228642693612,0.8946314102564102,0.8348,0.8345768984743323
33,0.07679133974894985,0.29932384103791326,0.29932384103791326,0.897636217948718,0.8478,0.8476579206305482
34,0.07545207078751859,0.2976430899906702,0.2976430899906702,0.8974136396011396,0.8744,0.8748499370548102
35,0.07408768370508578,0.2916669890157178,0.2916669890157178,0.8995503917378918,0.869,0.8694629192427014
36,0.07269952498697736,0.2858291544720658,0.2858291544720658,0.9027110042735043,0.854,0.8544704015087057
37,0.07128896457825365,0.28122492597313686,0.28122492597313686,0.904358084045584,0.8768,0.8772036835404295
38,0.06985739453173904,0.2715752519178934,0.2715752519178934,0.9070957977207977,0.86,0.8596915789489821
39,0.06840622763423393,0.2667576924942837,0.2667576924942837,0.9076299857549858,0.8706,0.8728085663214369
40,0.0669368960122646,0.26295383626918845,0.26295383626918845,0.9095664173789174,0.8838,0.8838270891247862
41,0.0654508497187474,0.25933066197270344,0.25933066197270344,0.9107460826210826,0.8684,0.8694205465284479
42,0.0639495553019615,0.2521748492053771,0.2521748492053771,0.9145076566951567,0.879,0.8792512725950798
43,0.06243449435824276,0.2426424376730226,0.2426424376730226,0.9166889245014245,0.8734,0.8752678053039841
44,0.060907162069827166,0.24339403672690405,0.24339403672690405,0.9177127849002849,0.8806,0.8818086043578839
45,0.059369065729286276,0.23381525857581031,0.23381525857581031,0.9211404914529915,0.8394,0.8388620871524346
46,0.057821723252011584,0.23399150044659944,0.23399150044659944,0.9204727564102564,0.868,0.8659487558636384
47,0.05626666167821526,0.2203287085534161,0.2203287085534161,0.9242565883190883,0.8848,0.8842404419788075
48,0.054705415665925745,0.22151111681916436,0.22151111681916436,0.9240117521367521,0.8718,0.872975466097925
49,0.05313952597646571,0.21431307842758646,0.21431307842758646,0.9265046296296297,0.8502,0.8517458976674372
50,0.051570537953906447,0.20898290167422037,0.20898290167422037,0.9282407407407407,0.8916,0.8910280226359564
51,0.05000000000000003,0.20619151083237766,0.20619151083237766,0.9279736467236467,0.872,0.8716867519821913
52,0.048429462046093615,0.19879859845098266,0.19879859845098266,0.9331374643874644,0.8872,0.8855846684533148
53,0.04686047402353436,0.1900341841485086,0.1900341841485086,0.9351851851851852,0.8914,0.8911154810489403
54,0.04529458433407431,0.18656673921309305,0.18656673921309305,0.9351629273504274,0.8848,0.8843586706436561
55,0.04373333832178482,0.17731106998743834,0.17731106998743834,0.9389912749287749,0.9002,0.8986329153707194
56,0.04217827674798848,0.17180868666990531,0.17180868666990531,0.9406383547008547,0.894,0.8934253959825881
57,0.04063093427071379,0.1626085257980219,0.1626085257980219,0.9440660612535613,0.8796,0.8787245728053434
58,0.03909283793017291,0.16019791068556982,0.16019791068556982,0.944778311965812,0.8892,0.887482162964383
59,0.03756550564175728,0.15582481634795156,0.15582481634795156,0.9474937678062678,0.9004,0.9012853473676865
60,0.036050444698038565,0.14730700293285215,0.14730700293285215,0.9499866452991453,0.8944,0.8951453923613968
61,0.03454915028125267,0.13600462740897454,0.13600462740897454,0.9531472578347578,0.9,0.9006401449444171
62,0.03306310398773545,0.13220447655289602,0.13220447655289602,0.9558404558404558,0.9178,0.9179953187574803
63,0.03159377236576614,0.12644198653619854,0.12644198653619854,0.9568420584045584,0.8992,0.8998527838696966
64,0.030142605468260985,0.11858161531409986,0.11858161531409986,0.9593571937321937,0.9166,0.9163545614623901
65,0.028711035421746387,0.11427263848674603,0.11427263848674603,0.9601584757834758,0.8914,0.8917931945609252
66,0.02730047501302268,0.10638733544092402,0.10638733544092402,0.9631855413105413,0.9146,0.9147465046908614
67,0.025912316294914247,0.09913818475570095,0.09913818475570095,0.9666132478632479,0.901,0.9027609781350984
68,0.024547929212481452,0.09102633142276027,0.09102633142276027,0.9691506410256411,0.8958,0.8963242781132799
69,0.023208660251050173,0.08842127411984481,0.08842127411984481,0.9701745014245015,0.9174,0.9169606008410138
70,0.02189583110739348,0.08015537566035731,0.08015537566035731,0.9723112535612536,0.9168,0.9167013677025381
71,0.020610737385376363,0.07139178447457206,0.07139178447457206,0.9754718660968661,0.913,0.9131679682670724
72,0.019354647317351183,0.06357671454166755,0.06357671454166755,0.9787437678062678,0.9246,0.9243696221269115
73,0.018128800512565525,0.06108171287711784,0.06108171287711784,0.9794337606837606,0.918,0.9189122351852896
74,0.016934406733817426,0.05100527293767854,0.05100527293767854,0.9835514601139601,0.9266,0.9269599049639441
75,0.015772644703565576,0.04469454125832883,0.04469454125832883,0.9855324074074074,0.9182,0.9191235494255834
76,0.014644660940672639,0.03780642813841077,0.03780642813841077,0.9878249643874644,0.9356,0.935685555749485
77,0.013551568628929445,0.038625747079501976,0.038625747079501976,0.9874243233618234,0.937,0.9370238026565779
78,0.012494446518477037,0.029807354347446025,0.029807354347446025,0.9904068732193733,0.931,0.9309518316110639
79,0.011474337861210554,0.022876908578127197,0.022876908578127197,0.9928997507122507,0.9336,0.9338615204178836
80,0.01049224938121549,0.019994132722226474,0.019994132722226474,0.9937455484330484,0.9414,0.9414518485211479
81,0.009549150281252642,0.017670993982387063,0.017670993982387063,0.9947694088319088,0.9404,0.9403457882591724
82,0.008645971286271927,0.013280747126671153,0.013280747126671153,0.9962606837606838,0.9444,0.9444546343669546
83,0.007783603724899264,0.010373334540982871,0.010373334540982871,0.9972845441595442,0.9466,0.946647569153089
84,0.006962898649802819,0.008438998459177649,0.008438998459177649,0.998108084045584,0.9468,0.9468000523847776
85,0.0061846659978068265,0.005885791524374417,0.005885791524374417,0.9988871082621082,0.9488,0.9488773631841554
86,0.005449673790581615,0.005048277172289173,0.005048277172289173,0.9993100071225072,0.951,0.9510467040856891
87,0.004758647376699036,0.004756037931241881,0.004756037931241881,0.9991319444444444,0.9526,0.9526975008443195
88,0.004112268715800957,0.004086708076871359,0.004086708076871359,0.9993322649572649,0.9504,0.9504102889267919
89,0.003511175705587435,0.0035435666656519612,0.0035435666656519612,0.9995325854700855,0.953,0.9530136225293149
90,0.0029559615522887295,0.0030797630192929523,0.0030797630192929523,0.9996661324786325,0.9512,0.9512603872239789
91,0.0024471741852423253,0.002830624755503785,0.002830624755503785,0.9997106481481481,0.9518,0.9517994156582693
92,0.0019853157161528537,0.002880537720593462,0.002880537720593462,0.999732905982906,0.9526,0.9526673570776503
93,0.0015708419435684529,0.0026057178281948096,0.0026057178281948096,0.9997996794871795,0.9528,0.9527534356305191
94,0.0012041619030626347,0.0024994403771270712,0.0024994403771270712,0.9998441951566952,0.9526,0.9525913989268471
95,0.0008856374635655646,0.002427909374661595,0.002427909374661595,0.9997996794871795,0.953,0.9530393510565416
96,0.0006155829702431174,0.002421410465108873,0.002421410465108873,0.9997774216524217,0.953,0.9529664007208373
97,0.00039426493427611206,0.002343867162502559,0.002343867162502559,0.9998219373219374,0.9528,0.9527559478850371
98,0.00022190176984600036,0.002400285970324125,0.002400285970324125,0.999732905982906,0.9528,0.9527963684024179
99,9.866357858642213e-05,0.002270517005794748,0.002270517005794748,0.9997774216524217,0.9532,0.9532711940913771
100,2.4671981713420017e-05,0.002290097322643992,0.002290097322643992,0.9998887108262108,0.953,0.9530013890154164
